Contig ,MW_10,MW_9,MW_1,MW_2,MW_3,MW_5,MW_6,MW_7,MW_8,MD_11,MD_12,MD_13,MD_14,MD_15,MD_16,MD_17,MD_18,Log2FC(+We),DE/NDE(+We),DE/NDE(no We)
Ref_259_comp10930_c0_seq1,6.62,10.783,12.209,4.538,5.745,7.089,8.875,10.362,7.415,14.272,8.578,8.736,14.699,13.927,7.877,11.048,12.947,0.338,NDE,NDE
Ref_259_comp11_c0_seq1,2800.186,276.652,1410.681,50.87,1005.589,578.269,408.197,2526.936,1215.026,387.062,171.298,623.751,205.464,303.6,370.037,303.086,196.316,-1.85,NDE,NDE
Ref_259_comp11534_c0_seq1,0.037,0.075,2.206,5.128,0.031,0.048,0,3.733,0,0,0,0.048,0,0,0.064,0.023,0.113,-5.51,NDE,NDE
Ref_259_comp12966_c0_seq1,14.738,28.684,9.411,16.576,14.439,13.74,23.533,24.749,19.114,29.945,28.963,27.653,17,26.226,29.985,26.644,24.798,0.38,NDE,NDE
Ref_259_comp13007_c0_seq1,12.053,8.911,12.243,8.326,3.333,6.364,13.921,16.742,7.136,14.855,5.493,11.894,12.714,14.906,7.45,10.38,10.91,-0.021,NDE,NDE
Ref_259_comp13054_c0_seq1,0.736,7.201,4.096,2.767,0.907,4.225,0,2.989,0,4.117,3.808,5.402,5.038,5.674,5.47,2.407,4.254,0.572,NDE,NDE
Ref_259_comp13516_c0_seq1,0,0.117,3.821,0,0,2.312,0,0.38,0.104,0,0,0.149,0,0.164,0.298,0.073,0,-3.499,NDE,NDE
Ref_259_comp14341_c0_seq1,0.524,0.885,0.531,0.376,0.411,0.182,0.438,0.387,0.319,0.207,0.441,0.183,0.537,0.534,0.385,0.119,0.216,-0.513,NDE,NDE
Ref_259_comp1469_c0_seq1,56.034,77.41,94.852,43.543,66.406,63.176,77.618,83.988,76.807,90.296,76.227,86.186,90.958,58.796,62.222,68.57,101.4,-0.058,NDE,NDE
Ref_259_comp15136_c0_seq1,2.128,9.427,6.476,8.477,8.233,10.627,4.601,4.748,5.807,3.737,20.193,7.994,3.631,4.214,6.49,8.192,5.917,0.069,NDE,NDE
Ref_259_comp15358_c0_seq1,0,0,4.649,0.311,0,0,0,3.137,0.158,0,0,0.075,0,0,0,0,0,-6.548,NDE,NDE
Ref_259_comp15773_c0_seq1,8.46,0,7.065,0,3.383,0,0,4.46,0.306,0,0,0,0,0,0,0,0,#NAME?,DE,NDE
Ref_259_comp16032_c0_seq1,2.246,5.615,6.341,3.483,1.847,8.69,3.48,1.59,3.026,2.794,5.895,4.215,2.659,2.572,2.961,5.057,3.135,-0.251,NDE,NDE
