Contig ,MW_10,MW_9,MW_1,MW_2,MW_3,MW_5,MW_6,MW_7,MW_8,MD_11,MD_12,MD_13,MD_14,MD_15,MD_16,MD_17,MD_18,Log2FC(+We),DE/NDE(+We),DE/NDE(no We)
Ref_259_comp16835_c0_seq1,10.64,13.972,5.338,4.302,8.899,10.618,7.748,10.828,9.393,8.446,5.909,14.533,10.169,10.718,17.142,8.234,10.087,0.106,NDE,NDE
Ref_220_comp8523_c0_seq1,0.533,2.924,0.013,0.107,1.168,0,1.447,1.847,1.299,0,3.212,2.313,2.175,0.05,0,0.022,0.071,0.007,NDE,NDE
Ref_259_comp20556_c0_seq1,8.783,2.024,2.975,1.679,2.841,1.608,2.071,3.667,4.367,2.507,2.511,1.747,2.785,4.14,7.649,2.602,5.503,0.055,NDE,NDE
Ref_259_comp3386_c0_seq1,30.947,49.232,45.517,34.96,41.364,39.018,34.151,38.733,47.586,47.269,36.826,40.888,37.269,39.075,33.78,40.175,45.874,-0.167,NDE,NDE
Ref_259_comp28832_c0_seq1,8.315,0.819,1.084,0.92,2.346,1.873,1.824,5.212,4.945,2.028,2.665,1.77,2.496,0.229,2.771,4.014,1.804,-0.482,NDE,NDE
Ref_25_comp16130_c0_seq1,4.329,6.092,9.38,1.026,3.138,0.653,3.513,0.813,0.973,3.731,5.386,4.788,3.186,5.736,5.736,4.822,4.662,0.513,NDE,NDE
Ref_259_comp2608_c0_seq1,62.436,79.542,66.592,101.868,86.659,111.485,48.965,88.48,80.526,86.978,130.055,70.418,78.321,119.435,93.285,69.103,135.374,0.123,NDE,NDE
Ref_259_comp8993_c0_seq1,9.867,16.454,14.641,5.682,6.333,7.001,14.646,6.891,11.355,12.084,11.018,11.71,8.358,22.345,8.867,7.844,19.065,0.134,NDE,NDE
Ref_259_comp9143_c0_seq1,12.364,14.824,13.283,9.167,11.003,7.968,11.318,9.138,12.235,12.578,11.415,16.518,11.703,16.456,13.492,10.997,14.276,0.075,NDE,NDE
Ref_220_comp3478_c0_seq1,35.225,35.099,21.275,68.26,67.483,48.195,38.983,35.649,47.078,42.142,56.588,31.439,26.183,65.723,64.859,37.352,61.178,0.008,NDE,NDE
Ref_220_comp19791_c0_seq1,0.254,0.616,0.487,0.35,0.296,0.392,0.575,0.344,0.378,0.658,0.346,0.513,0.068,0.534,0.27,0.58,0.383,-0.556,NDE,NDE
Ref_25_comp35583_c0_seq1,0.874,0.337,3.187,0.657,0.663,1.63,0.483,4.515,0.959,1.505,0.513,0.858,0.433,0.377,0.228,0.88,1.487,-0.99,NDE,NDE
Ref_25_comp9411_c0_seq1,1.168,4.914,4.745,5.325,3.063,3.152,2.819,10.703,16.895,7.513,3.22,4.336,3.695,8.256,4.609,5.098,9.158,-0.333,NDE,NDE
Ref_080R_comp23975_c0_seq1,1.712,2.087,1.911,2.53,1.558,3.824,2.345,0.928,0.382,0.684,2.399,3.826,1.971,1.715,1.819,1.448,1.66,-0.128,NDE,NDE
Ref_25_comp14863_c0_seq1,4.997,5.87,3.39,3.252,4.029,0.308,3.099,4.6,3.408,0.936,4.416,5.519,0.249,1.272,1.755,3.62,0.602,-0.894,NDE,NDE
Ref_080R_comp21182_c0_seq1,1.352,6.547,4.156,1.108,1.161,1.074,2.785,2.67,1.287,2.429,3.602,3.3,1.404,5.647,1.405,1.648,3.022,0.121,NDE,NDE
Ref_080R_comp25516_c0_seq1,2.741,2.107,1.994,0.968,2.476,1.361,1.487,2.42,2.687,3.83,0.811,2.031,3.272,2.515,1.668,2.193,2.519,0.102,NDE,NDE
Ref_080R_comp1778_c0_seq1,41.48,81.174,60.828,130.606,87.501,122.116,78.767,42.51,65.23,37.699,101.912,47.157,38.01,39.81,78.434,54.948,16.06,-0.701,NDE,NDE
Ref_259_comp3105_c0_seq1,9.706,11.704,11.683,7.967,9.364,7.217,1.666,10.029,7.855,7.467,6.907,11.352,7.39,10.759,9.737,5.8,7.85,-0.188,NDE,NDE
Ref_259_comp19890_c0_seq1,0.933,0.112,0.241,0.197,0.184,0.143,0.239,0.405,0.033,0.139,0.163,0,0.421,0,0.19,0.07,0.075,-1.079,NDE,NDE
Ref_080R_comp23255_c0_seq1,0.399,0.367,0,0.075,0.109,0.191,0.558,0,0.296,0.165,0.181,0.382,0.321,0.186,0.226,0.228,0.2,-0.008,NDE,NDE
Ref_080R_comp505_c0_seq1,0,0.04,7.161,0.015,0,0.051,15.379,10.33,0,0.025,0,0,0.032,0,0.017,0,0.142,-7.359,NDE,DE
Ref_080R_comp8349_c1_seq1,11.264,14.81,16.785,13.793,9.751,10.681,16.183,11.961,9.459,15.174,15.882,12.592,12.301,15.639,23.124,12.652,12.919,0.086,NDE,NDE
Ref_220_comp15807_c0_seq1,0.326,1.552,4.152,3.061,0.87,4.623,2.601,4.762,0.363,6.478,1.064,6.444,4.852,2.054,5.81,3.804,1.883,0.419,NDE,NDE
Ref_220_comp21602_c0_seq1,0.077,0.232,0.166,0.116,0.254,0.394,0.185,0.167,0,0.192,0.757,0.197,0.249,0.108,0.197,0.24,0.078,0.54,NDE,NDE
Ref_259_comp7361_c0_seq1,7.147,5.72,6.737,2.897,3.122,4.663,4.151,5.144,3.647,5.019,7.416,5.86,7.013,5.511,4.819,4.635,6.074,0.13,NDE,NDE
Ref_080R_comp22409_c0_seq1,1.151,2.553,3.852,4.439,4.456,8.436,1.897,0.962,2.996,1.283,2.954,2.604,2.744,3.7,0.795,0.777,1.327,-0.903,NDE,NDE
Ref_080R_comp16871_c0_seq1,5.993,6.318,7.069,0.902,5.009,4.781,5.108,12.339,6.327,5.342,5.879,8.291,2.093,3.222,1.698,6.225,8.941,-0.314,NDE,NDE
Ref_259_comp6109_c0_seq1,8.691,11.904,14.384,17.758,12.545,14.676,9.578,10.643,11.77,9.321,12.898,9.46,7.572,22.348,16.843,13.463,11.508,-0.066,NDE,NDE
Ref_25_comp7318_c0_seq1,2.665,0.856,6.359,1.524,1.665,0.476,1.022,0.924,0.856,4.243,1.511,0.817,1.89,5.383,1.812,1.728,1.18,-0.291,NDE,NDE
Ref_25_comp1042_c0_seq1,2.116,237.25,21.562,51.84,86.496,12.237,18.296,52.054,96.772,330.742,179.253,50.43,25.236,825.48,5.683,38.722,255.189,1.5,NDE,NDE
Ref_259_comp1224_c0_seq1,86.417,85.879,124.584,49.065,69.598,81.864,113.743,109.077,83.317,63.339,94.268,80.73,73.555,51.168,67.088,80.897,57.191,-0.477,NDE,NDE
Ref_080R_comp17915_c0_seq1,5.875,5.8,6.527,7.615,9.294,6.491,5.247,4.44,6.342,5.833,6.026,7.062,5.251,8.101,4.867,4.954,8.392,-0.191,NDE,NDE
Ref_080R_comp1666_c0_seq1,0,0.056,0.02,0.111,0.061,0.035,0.03,0.12,0.066,0.023,0.061,0.095,0.089,0.078,0.11,0.058,0.019,0.125,NDE,NDE
Ref_080R_comp8957_c0_seq1,8.523,15.247,12.677,6.454,10.133,7.708,9.605,9.958,10.328,10.808,10.439,11.31,9.261,12.264,11.113,9.205,12.676,-0.065,NDE,NDE
Ref_220_comp7367_c0_seq1,0.575,0.981,0.709,0.634,1.717,0.758,0.429,0.145,0.581,0.429,0.376,0.93,0.648,8.492,1.384,1.063,1.137,1.121,NDE,NDE
Ref_220_comp14520_c0_seq1,6.181,7.112,6.506,6.033,6.839,5.502,6.674,5.503,6.617,6.607,5.28,6.656,5.438,5.67,8.973,7.975,5.444,-0.1,NDE,NDE
Ref_080R_comp5857_c0_seq1,7.602,15.378,17.903,26.511,25.181,14.805,22.835,15.514,12.227,15.115,12.821,7.158,8.674,19.456,17.544,10.133,6.474,-0.643,NDE,NDE
Ref_080R_comp11003_c0_seq1,3.163,22.166,10.101,19.278,16.442,19.393,9.344,7.513,14.793,14.266,6.651,8.12,9.474,26.885,15.776,16.009,12.436,-0.101,NDE,NDE
Ref_220_comp10849_c0_seq1,8.925,11.825,9.152,6.902,6.393,7.286,9.23,9.489,6.83,9.292,10.331,9.51,7.988,10.782,7.387,7.084,10.56,-0.038,NDE,NDE
Ref_259_comp15882_c0_seq1,3.912,5.425,6.537,5.887,5.514,5.51,8.436,8.277,3.49,5.561,6.904,4.521,6.305,7.925,7.283,6.076,4.997,-0.056,NDE,NDE
Ref_259_comp7996_c0_seq1,1.941,2.065,7.229,1.373,1.239,1.47,1.702,6.625,1.073,1.333,4.5,1.573,5.766,1.89,1.502,1.553,2.142,-0.163,NDE,NDE
Ref_220_comp16542_c0_seq1,5.989,7.201,5.7,3.32,4.476,4.985,3.525,5.961,4.221,5.488,6.609,6.69,6.203,6.978,5.186,3.908,6.043,0.075,NDE,NDE
Ref_259_comp1551_c0_seq1,12.496,58.672,49.724,36.609,30.911,55.429,42.526,14.272,31.379,18.673,29.468,22.761,14.415,60.897,13.371,41.349,48.328,-0.436,NDE,NDE
Ref_25_comp9940_c0_seq1,5.905,11.248,12.906,5.379,7.329,10.568,4.626,7.999,8.341,7.525,8.518,10.943,11.196,9.581,6.151,9.237,9.491,-0.019,NDE,NDE
Ref_25_comp1890_c0_seq1,42.74,43.046,50.724,33.851,37.932,36.006,44.688,46.505,45.045,47.472,37.843,46.459,55.457,38.412,43.27,49.131,44.452,-0.079,NDE,NDE
Ref_220_comp685_c0_seq1,17.802,24.488,26.568,34.162,33.652,29.932,25.503,45.379,40.157,38.332,26.154,32.849,39.682,34.754,31.325,35.532,39.278,0.04,NDE,NDE
Ref_25_comp10283_c0_seq1,10.17,11.593,7.827,4.844,9.665,8.65,10.698,15.697,11.133,17.726,8.364,16.771,17.103,9.291,11.657,17.125,12.129,0.324,NDE,NDE
Ref_220_comp15776_c0_seq1,10.13,10.828,17.483,5.686,10.775,9.417,19.884,10.561,13.565,9.877,14.778,19.909,9.671,8.891,13.307,15.874,10.483,-0.049,NDE,NDE
Ref_080R_comp19760_c0_seq1,1.339,0.03,0.053,0.381,0.783,0.969,1.07,0,0.266,0,0.649,0.836,0.048,0.334,0.126,0.019,0.09,-1.129,NDE,NDE
Ref_25_comp20424_c0_seq1,6.383,4.157,4.959,5.841,6.241,2.423,7.444,4.674,6.003,6.867,6.017,8.813,3.058,3.871,8.358,6.989,5.726,0.055,NDE,NDE
Ref_25_comp5212_c0_seq1,34.021,40.821,34.784,38.743,35.325,35.871,31.993,31.349,28.871,25.475,47.758,28.128,31.267,52.15,50.322,29.786,36.7,-0.025,NDE,NDE
Ref_259_comp9502_c0_seq1,14.423,22.799,17.013,16.294,15.74,16.256,16.904,14.442,15.921,17.995,16.739,21.159,20.779,20.644,19.066,15.531,25.385,0.051,NDE,NDE
Ref_220_comp295_c0_seq1,84.109,73.112,107.298,127.96,115.443,146.548,107.53,210.331,170.423,188.532,91.213,115.07,145.202,126.366,122.312,118.422,183.486,-0.056,NDE,NDE
Ref_080R_comp10115_c0_seq1,1.109,13.579,3.186,7.173,4.374,0.991,7.44,7.688,9.691,11.581,7.974,3.964,8.932,25.496,11.305,9.672,5.574,0.614,NDE,NDE
Ref_259_comp2524_c0_seq1,55.884,125.609,60.814,78.724,55.3,168.115,54.115,46.648,52.648,56.895,200.532,150.895,38.329,44.932,49.417,40.671,55.789,-0.064,NDE,NDE
Ref_259_comp25957_c0_seq1,1.504,0.566,1.65,0.505,0.662,1.148,0.965,1.426,0.599,0.935,1.375,1.406,1.082,0.791,0.776,0.87,1.215,-0.097,NDE,NDE
Ref_259_comp293_c0_seq1,1398.98,78.755,316.152,1.631,444.657,84.661,14.131,759.387,317.558,140.493,52.173,398.512,41.654,204.805,143.37,34.365,72.902,-1.522,NDE,NDE
Ref_259_comp8280_c0_seq1,6.699,7.248,8.162,4.107,0.526,0.172,6.983,5.136,0.642,5.82,1.275,1.073,6.655,5.245,5.43,4.692,6.667,0.009,NDE,NDE
Ref_259_comp5603_c0_seq1,7.998,13.383,12.852,0.081,10.513,10.485,5.584,2.108,9.192,0.314,12.368,9.339,9.405,0.404,9.369,6.331,5.326,-0.259,NDE,NDE
Ref_080R_comp16100_c0_seq1,7.751,8.148,7.999,6.615,6.971,5.412,6.568,7.441,6.265,9.059,7.995,7.64,8.719,9.047,8.312,6.614,8.895,0.079,NDE,NDE
Ref_259_comp27262_c0_seq1,0.754,0.303,1.012,0.435,0.703,0.562,0.683,1.989,0.65,0.844,0.658,0.739,1.013,1.093,0.791,0.533,0.86,-0.077,NDE,NDE
Ref_259_comp4336_c0_seq1,15.3,33.352,38.408,24.491,26.937,31.515,22.925,36.67,79.828,38.193,6.923,49.794,57.162,34.398,42.858,51.877,21.086,0.008,NDE,NDE
Ref_25_comp551_c0_seq1,170.174,119.434,145.253,107.571,108.532,97.719,155.444,160.54,132.471,154.949,173.531,154.855,168.012,93.293,138.145,154.556,125.031,-0.031,NDE,NDE
Ref_080R_comp18481_c0_seq1,2.916,2.705,4.52,3.338,2.449,3.398,2.279,3.125,3.082,5.4,1.934,2.955,3.32,1.333,2.478,4.405,2.805,-0.224,NDE,NDE
Ref_080R_comp29010_c0_seq1,0,0.239,0.029,0.119,0.326,0.304,0.19,0.172,0.212,0.197,0,0.304,0,0.445,0.202,0,0.08,-0.454,NDE,NDE
Ref_080R_comp578_c0_seq1,14.494,23.762,20.178,13.886,15.22,12.955,14.431,21.442,26.618,26.794,16.63,17.317,17.472,18.183,16.336,18.843,24.855,-0.064,NDE,NDE
Ref_080R_comp9361_c0_seq1,1.65,1.945,1.881,1.497,1.313,1.738,1.402,1.05,1.028,1.4,1.598,0.635,1.055,1.249,1.313,1.354,1.369,-0.365,NDE,NDE
Ref_080R_comp9672_c0_seq1,0.34,2.665,4.671,1.434,2.182,0.999,9.029,2.065,0.304,0.085,0.594,1.043,3.181,0.764,1.388,0.424,0.753,-1.392,NDE,NDE
Ref_220_comp11952_c0_seq1,1.105,12.635,6.751,4.478,7.409,5.264,5.435,1.566,5.765,4.865,4.077,4.018,2.74,12.044,3.613,5.299,9.92,-0.089,NDE,NDE
Ref_220_comp12108_c0_seq1,0.407,2.453,0.366,0.766,3.683,2.339,1.302,0.441,7.811,1.266,0.222,1.3,1.641,2.285,0.519,1.396,1.434,-0.82,NDE,NDE
Ref_220_comp16276_c0_seq1,0.857,17.991,5.318,4.279,6.404,6.961,1.121,0.338,3.336,0.484,1.613,3.98,0.251,11.145,4.502,2.816,78.511,1.186,NDE,NDE
Ref_220_comp17780_c0_seq1,12.12,19.897,13.764,4.927,4.533,5.169,11.29,0.934,4.561,17.932,11.456,17.825,12.866,23.361,6.786,11.706,17.735,0.78,NDE,NDE
Ref_220_comp19960_c0_seq1,1.213,1.624,1.743,0.304,1.773,0.602,0,0,1.082,1.676,0.588,1.205,0.434,3.214,1.26,1.26,0.949,0.434,NDE,NDE
Ref_25_comp6515_c0_seq1,3.589,13.184,19.31,9.912,6.405,15.728,11.716,4.885,10.972,2.613,11.019,6.987,4.726,7.427,5.543,12.493,7.968,-0.719,NDE,NDE
Ref_259_comp10211_c0_seq1,0.109,0.284,7.138,5.818,1.397,0.32,2.646,1.251,0.194,0.054,0.57,0.139,0.07,0.214,0.056,0.299,0.329,-3.375,NDE,NDE
Ref_259_comp12299_c0_seq1,14.569,9.702,9.153,5.509,16.383,13.732,8.234,11.534,11.011,11.595,7.446,15.521,9.245,6.723,14.179,9.198,14.122,-0.13,NDE,NDE
Ref_259_comp1427_c0_seq1,4.52,10.391,17.512,2.546,5.602,7.227,7.76,4.458,6.089,9.225,12.643,5.624,9.207,13.799,5.2,7.837,14.546,0.249,NDE,NDE
Ref_259_comp15547_c0_seq1,2.307,7.674,2.85,2.278,5.453,4.418,2.996,2.344,9.391,2.332,3.458,5.157,3.718,5.258,4.657,2.427,4.061,-0.244,NDE,NDE
Ref_259_comp27323_c0_seq1,0.581,0.486,0.487,0.182,0.119,0.031,0.155,0.157,0.648,0.06,0.106,0.247,0.234,0.204,0.247,0.151,0.146,-0.96,NDE,NDE
Ref_259_comp6360_c0_seq1,0.07,0.373,1.3,0.244,0.191,0.133,1.204,0.201,0.786,0.087,0.986,0.118,0.075,0.13,0.769,0.549,1.166,-0.201,NDE,NDE
Ref_259_comp9628_c0_seq1,19.413,20.087,17.102,10.084,12.091,13.198,12.542,13.11,12.768,16.031,16.375,18.733,16.502,17.3,15.155,12.641,19.564,0.022,NDE,NDE
Ref_220_comp22500_c0_seq1,1.375,0.949,1.297,0.841,0.636,1.262,1.03,1.863,1.457,2.031,1.311,0.988,1.801,1.808,0.657,1.071,1.988,0.217,NDE,NDE
Ref_25_comp12269_c0_seq1,7.807,11.759,9.925,11.409,9.134,17.345,5.759,10.413,11.653,11.951,8.345,15.915,9.678,19.372,8.677,6.924,16.611,0.036,NDE,NDE
Ref_080R_comp1861_c0_seq1,0.061,2.741,0.044,0.183,3.392,4.26,3.2,0.263,1.407,0.075,5.621,3.409,0.196,0.17,0.619,3.365,0.183,-0.018,NDE,NDE
Ref_25_comp19723_c0_seq1,5.086,22.961,6.207,3.096,6.543,5.08,4.498,2.146,7.135,4.056,2.412,15.52,4.88,21.889,6.204,6.63,29.482,0.626,NDE,NDE
Ref_220_comp1164_c0_seq1,31.394,3.265,10.979,4.893,12.613,2.368,6.429,8.539,10.637,6.689,18.812,24.279,35.34,3.45,10.453,31.128,4.529,0.65,NDE,NDE
Ref_220_comp5791_c1_seq1,17.985,17.577,14.764,7.72,14.733,14.892,12.943,15.737,18.935,14.847,9.027,18.709,13.193,15.824,26.082,43.215,12.888,0.236,NDE,NDE
Ref_259_comp2086_c0_seq1,23.06,36.46,33.694,51.55,51.75,57.322,35.757,64.337,72.12,62.692,36.014,53.088,51.114,53.653,59.02,40.912,68.955,0.003,NDE,NDE
Ref_220_comp4942_c0_seq1,2.228,1.271,1.019,0.876,2.04,0.582,1.699,3.512,3.027,2.834,1.269,1.552,3.264,0.426,3.873,2.209,2.444,0.249,NDE,NDE
Ref_25_comp326_c0_seq1,50.865,33.54,148.732,751.418,561.306,74.104,345.491,179.613,246.77,118.021,211.347,224.082,163.14,523.378,1217.026,92.559,111.332,0.12,NDE,NDE
Ref_220_comp20769_c0_seq1,1.035,1.134,0,0.496,0.31,0.06,0,0,0.252,0,1.231,0.721,0.91,1.716,0.16,0.411,0.095,0.697,NDE,NDE
Ref_25_comp25437_c0_seq1,1.013,0.524,0.551,0.393,0.505,0.548,0.221,0.599,0.548,0.267,0.669,1.293,0.198,1.162,0.443,0.172,1.728,0.115,NDE,NDE
Ref_080R_comp29721_c0_seq1,2.049,1.029,1.564,0.385,0.895,0.736,1.177,1.388,0.971,0.637,1.884,1.717,2.373,1.437,1.197,1.476,1.803,0.447,NDE,NDE
Ref_259_comp5234_c0_seq1,1.45,0.414,2.143,0.211,0.555,1.82,0.751,1.018,3.249,2.993,0.79,2.589,1.886,2.381,2.871,2.239,2.055,0.777,NDE,NDE
Ref_25_comp1472_c0_seq1,10.16,0.503,0.755,4.782,4.649,5.973,5.399,8.135,5.268,7.407,10.582,7.478,8.549,5.615,5.487,0.655,7.651,-0.078,NDE,NDE
Ref_259_comp6357_c0_seq1,14.602,27.969,29.439,13.783,19.953,11.448,21.698,39.143,35.376,50.538,19.101,23.581,28.498,26.842,16.48,23.667,35.612,0.06,NDE,NDE
Ref_25_comp18194_c0_seq1,2.217,2.31,1.796,8.782,2.924,7.904,2.524,2.471,2.109,3.148,3.124,6.732,2.191,2.699,2.916,1.682,1.978,-0.505,NDE,NDE
Ref_259_comp11387_c0_seq1,4.143,7.163,11.987,6.305,8.041,14.415,7.268,4.996,2.918,11.508,8.488,3.501,6.225,7.995,3.442,4.679,9.055,-0.396,NDE,NDE
Ref_220_comp395_c0_seq1,138.785,196.963,31.847,11.43,330.039,473.615,241.189,5.385,359.337,7.858,430.412,406.157,199.438,19.547,21.599,59.522,27.893,-0.452,NDE,NDE
Ref_220_comp33907_c0_seq1,2.929,1.925,0.383,0.641,1.182,0.306,0.213,0.808,3.943,1.325,0.522,2.38,3.432,2.315,3.168,1.162,3.106,0.591,NDE,NDE
Ref_220_comp10442_c0_seq1,2.393,1.073,0.878,0.23,1.255,0.227,0.325,1.379,7.312,1.583,0.277,1.82,4.184,0.785,2.942,1.237,1.69,0.045,NDE,NDE
Ref_25_comp25365_c0_seq1,1.873,8.059,3.364,2.684,1.979,2.049,2.494,0.676,2.864,2.108,1.555,4.214,1.725,8.13,2.122,1.779,5.651,0.154,NDE,NDE
Ref_220_comp13517_c0_seq1,6.186,4.293,15.237,3.171,4.014,11.197,5.004,4.403,4.383,6.94,5.602,13.536,10.214,2.828,8.518,9.025,6.237,0.069,NDE,NDE
Ref_25_comp32639_c0_seq1,0.788,0.241,0.813,0.284,0.535,0.416,0.137,0.743,0.734,0.682,0.785,1.051,1.547,0.481,1.02,0.876,0.655,0.638,NDE,NDE
Ref_259_comp4075_c0_seq1,32.871,32.496,36.209,33.03,30.085,36.26,22.596,29.742,40.164,38.905,25.027,38.978,34.324,29.314,35.959,34.235,38.152,-0.09,NDE,NDE
Ref_080R_comp2641_c1_seq1,35.496,50.743,37.721,19.387,28.729,21.287,40.302,57.386,28.64,38.099,25.474,30.391,39.073,45.514,35.595,33.098,41.872,-0.083,NDE,NDE
Ref_25_comp9485_c0_seq1,24.319,27.138,17.335,20.699,17.473,26.762,14.046,31.42,26.587,29.204,26.927,28.133,29.835,27.593,25.192,21.589,30.785,0.134,NDE,NDE
Ref_220_comp5103_c0_seq1,4.971,26.07,4.386,2.975,9.447,5.239,3.972,3.608,11.324,9.03,2.293,8.74,8.16,30.578,6.917,4.986,39.788,0.699,NDE,NDE
Ref_220_comp1191_c0_seq1,41.759,44.86,23.864,37.314,58.647,85.527,87.393,35.302,78.243,66.894,62.093,107.445,90.202,34.967,132.853,101.685,61.82,0.512,NDE,NDE
Ref_080R_comp234_c0_seq1,0,0.505,0,376.924,0.413,162.768,76.785,27.667,0,29.63,38.344,35.302,9.881,0.705,0,0.251,0,-2.554,NDE,NDE
Ref_220_comp1665_c0_seq1,0.185,0.199,25.052,0.189,27.66,0.127,6.37,36.963,0.331,0.247,3.06,34.836,35.38,2.86,38.477,28.596,31.843,1.039,NDE,NDE
Ref_080R_comp668_c0_seq1,130.304,83.808,106.814,68.857,9.415,9.48,149.54,102.581,81.046,6.823,124.431,92.505,11.115,6.164,94.768,99.864,6.711,-0.516,NDE,NDE
Ref_25_comp2358_c0_seq1,52.135,41.711,78.817,51.686,51.697,75.778,63.608,51.461,49.654,44.579,60.344,75.467,70.562,25.747,38.091,38.409,37.899,-0.399,NDE,NDE
Ref_220_comp10408_c0_seq1,26.768,33.284,28.3,13.125,19.587,24.728,12.714,20.565,19.148,25.923,24.658,32.28,28.58,22.141,23.63,24.224,37.382,0.175,NDE,NDE
Ref_080R_comp6397_c0_seq1,11.954,20.766,15.318,7.81,8.308,8.092,10.731,10.189,9.914,10.078,11.26,13.656,9.876,18.424,7.144,8.401,16.938,-0.055,NDE,NDE
Ref_25_comp7079_c0_seq1,0.277,9.917,11.17,7.049,7.576,5.803,1.967,8.635,0.247,10.371,7.579,11.002,9.917,11.327,7.845,5.935,6.282,0.343,NDE,NDE
Ref_259_comp20449_c0_seq1,1.648,1.962,3.029,0.288,0.536,1.174,2.695,2.824,0.615,1.478,1.211,1.224,2.841,1.612,1.563,2.03,4.047,0.041,NDE,NDE
Ref_25_comp353_c0_seq1,22.238,20.178,23.174,13.821,17.202,21.4,14.623,23.236,18.822,11.252,26.984,24.651,14.468,9.831,15.642,17.281,11.356,-0.408,NDE,NDE
Ref_080R_comp14914_c0_seq1,1.484,1.391,0,1.638,3.213,1.105,3.083,1.126,2.03,0.923,1.186,1.074,0.478,0.555,3.952,2.251,0.249,-0.427,NDE,NDE
Ref_259_comp15089_c0_seq1,0.591,2.433,2.449,0.83,1.782,1.333,1.307,0.47,1.635,0.392,0.558,0.453,2.159,3.344,1.574,0.503,3.091,-0.032,NDE,NDE
Ref_259_comp12619_c0_seq1,7.386,13.864,9.662,6.885,10.031,8.813,9.109,13.136,12.533,12.381,9.012,15.071,6.727,9.457,7.642,8.005,15.583,-0.08,NDE,NDE
Ref_220_comp25273_c0_seq1,1.604,1.271,1.213,0.445,1.249,0.862,1.484,2.196,0.979,1.05,1.288,1.078,0.816,1.539,1.22,0.947,1.104,-0.254,NDE,NDE
Ref_25_comp1166_c0_seq1,54.035,67.358,76.18,52.115,63.797,66.109,67.032,66.358,78.772,86.317,70.405,80.993,70.198,63.173,68.441,71.679,74.452,-0.026,NDE,NDE
Ref_220_comp10541_c0_seq1,7.379,13.119,9.108,5.813,6.887,5.818,4.717,6.162,8.403,14.739,6.813,10.644,9.514,15.646,7.452,5.14,13.272,0.35,NDE,NDE
Ref_25_comp4565_c0_seq1,31.609,31.254,32.286,17.791,23.305,23.387,29.029,36.433,30.352,37.11,26.277,32.622,34.418,29.166,29.044,31.44,31.352,0.013,NDE,NDE
Ref_259_comp726_c0_seq1,143.941,132.728,177.544,128.769,119.734,154.168,138.002,184.267,153.179,171.723,173.24,154.267,161.573,117.306,159.03,135.769,148.909,-0.117,NDE,NDE
Ref_25_comp9767_c0_seq1,0,0,0,0.17,0,0,0,0,0.101,0.141,0,0.434,0,0,0.096,0,0,-2.406,NDE,NDE
Ref_259_comp3082_c0_seq1,30.971,52.054,59.942,23.201,32.41,31.724,37.611,43.678,32.569,47.603,31.489,44.388,44.534,40.624,39.789,43.986,42.511,-0.025,NDE,NDE
Ref_220_comp3490_c0_seq1,20.141,22.486,14.943,24.18,26.899,16.151,12.782,22.141,27.504,24.147,14.383,18.34,19.686,28.757,23.329,24.743,24.279,-0.05,NDE,NDE
Ref_259_comp11649_c0_seq1,4.552,9.426,6.486,9.385,5.469,5.811,6.977,6.142,5.994,6.505,5.915,8.608,6.066,8.287,5.45,5.387,11.115,-0.108,NDE,NDE
Ref_220_comp16653_c0_seq1,0.261,3.49,1.701,0.621,2.179,2.024,1.458,2.919,2.132,2.162,1.705,1.831,3.011,2.62,3.323,2.437,2.097,0.386,NDE,NDE
Ref_080R_comp23014_c0_seq1,0.601,0.867,0.034,0.367,0.046,0.084,0.435,0.041,0.436,0.444,0,0.024,0,0.79,0.463,0.41,0,-0.424,NDE,NDE
Ref_259_comp7256_c0_seq1,13.786,13.636,16.145,9.525,10.912,12.325,15.409,11.751,13.827,13.17,12.934,11.432,14.632,11.514,13.912,13.039,11.524,-0.216,NDE,NDE
Ref_259_comp6330_c0_seq1,14.535,25.878,26.484,11.702,18.693,18.978,15.422,20.143,21.449,21.764,20.699,22.347,21.015,20.883,18.338,18.605,27.066,-0.031,NDE,NDE
Ref_220_comp11750_c0_seq1,1.145,7.568,1.025,0.759,6.084,0.295,0.219,0.852,8.31,8.524,7.619,7.879,7.519,7.79,7.815,9.043,9.609,1.492,DE,DE
Ref_259_comp12617_c0_seq1,5.14,5.792,10.602,8.681,5.898,20.346,6.294,13.945,3.926,10.073,13.582,9.162,7.27,11.15,4.431,3.711,14.096,-0.106,NDE,NDE
Ref_220_comp10595_c0_seq1,4.018,4.738,9.814,4.715,3.394,4.753,5.302,1.558,2.138,2.751,3.737,5.697,2.614,3.05,8.24,5.422,4.004,-0.093,NDE,NDE
Ref_259_comp11541_c0_seq1,8.626,9.527,12.769,11.812,8.793,10.737,7.582,8.6,7.465,6.652,10.436,7.161,11.26,10.283,11.144,9.946,9.457,-0.151,NDE,NDE
Ref_25_comp3086_c0_seq1,13.84,32.715,20.091,18.597,16.5,20.047,22.689,14.776,19.864,52.658,35.79,23.806,23.374,33.735,17.362,32.211,37.547,0.44,NDE,NDE
Ref_220_comp7037_c0_seq1,3.851,14.88,8.483,4.642,9.283,6.512,5.043,8.237,11.153,11.01,4.879,10.532,5.004,16.486,3.719,5.642,21.861,0.203,NDE,NDE
