,MW_10,MW_9,MW_1,MW_2,MW_3,MW_5,MW_6,MW_7,MW_8,MD_11,MD_12,MD_13,MD_14,MD_15,MD_16,MD_17,MD_18
Module_13,-1.946884415,2.797473063,0.172026083,4.484925251,1.067880109,3.068569726,3.522276352,-0.516862501,-7.016806167,-0.720315698,3.354468563,-1.668982539,-6.028604012,3.386058324,-5.117758426,-0.129508175,1.29204446
Module_14,1.249353259,2.076253222,-4.398449321,5.607362525,2.173244559,2.486836204,3.300617567,-2.008530602,-4.336472935,-2.292453139,2.672429265,-3.563416571,-5.84233033,4.402747946,0.328587519,-2.599919862,0.744140694
Module_15,3.641566692,-1.755390252,0.166053769,8.314119535,4.579883229,4.555758012,1.167793637,-5.72445441,3.91575096,-6.35543722,-2.306955009,-3.173196262,-3.600476181,2.567843865,-1.339429802,-1.559300962,-3.094129601
Module_16,4.159436203,-3.396509582,-6.988805191,-4.586107645,-0.88546873,-4.935021995,-5.109399302,3.074283096,-1.407619344,4.624451162,-0.149177176,2.693318183,4.61604583,2.225230278,4.317350093,0.208215076,1.539779043
Module_17,-5.955232051,3.969250849,0.343853088,-7.055769192,-4.187536377,-5.28377838,-2.40645647,-2.349309279,-3.711663122,4.292629768,0.36162096,3.254721418,2.773471481,6.7172598,2.053417939,0.707803912,6.475715655
Module_18,-2.91960478,-4.119679664,2.07089179,3.845217277,0.106094414,1.55231816,4.963565481,4.233367736,1.647900004,0.565978146,2.848611453,-3.757883093,0.023047859,-3.820197836,-5.617339035,0.753975249,-2.376263162
Module_19,-4.379546515,5.062439252,1.808553557,-3.668507684,-2.555198792,-1.223050348,-1.957926502,-4.471730692,1.131985116,0.65562798,-3.335649011,2.329654525,-0.185517112,5.431719261,0.401032121,-0.975660217,5.931775061
Module_20,3.023826589,-7.03658683,-2.024566163,-0.874111502,0.161016157,-2.820756449,0.684119356,5.476906175,-1.275009745,2.78740382,2.424876344,0.951581942,4.394475088,-6.703261999,3.785306104,1.636156642,-4.591375529
Module_21,-4.266435006,3.538882103,3.865734149,-4.287809284,-3.129546326,0.78796257,-3.378254202,-2.48521057,0.248761048,0.399944668,0.312664889,3.466740063,-0.220235257,3.049008266,-0.417926378,-0.892472502,3.40819177
Module_22,0.973052391,-4.274460981,-3.186085556,8.199000227,3.533810508,1.699510682,3.415774878,0.292297674,-1.7344423,-3.004609029,2.2619728,-4.848738643,-3.324924763,0.610409658,3.534619174,0.902193232,-5.049379953
Module_23,-4.31347397,2.287068558,-1.369541719,7.236292556,3.543198968,5.841969147,-4.596535057,-4.089005386,-1.322065914,-4.066990381,0.911440268,0.126112772,-5.202585247,4.736172723,-0.610820469,-0.103715907,0.992479057
Module_24,-4.188748776,3.434708116,0.523215312,-0.703229886,-0.394288548,0.495367579,-3.306087047,-2.737448,1.33814774,1.605031037,-2.114856666,-0.800465048,-1.172724902,5.606873585,-1.614924948,-0.244140172,4.273570625
Module_25,2.331844447,2.470027397,2.307763639,3.120982276,0.003588063,3.492603624,3.216713167,-5.094530147,-3.579980374,-5.0011226,2.962725431,-1.749237505,-2.614163022,2.387193432,-1.638427729,-1.215419638,-1.400560463
Module_26,-0.855315349,-5.235103529,1.933274204,2.531327582,-0.295487529,-0.428349339,3.302611028,4.217140408,0.852426154,3.222757485,3.090949999,-1.19952334,1.5158298,-5.898201832,-3.853646647,1.504540923,-4.405230018
Module_27,2.427165136,-3.943528294,3.257724801,2.174312568,-0.719784662,1.838123626,3.589823427,3.251528821,-2.218846475,0.000573116,3.331427185,-0.916831939,1.279684616,-7.267328688,-0.447380191,-0.252726674,-5.383936374
Module_28,-0.015039944,-5.178159713,2.433422998,3.790121585,1.960049887,3.179040138,3.682049006,2.240447182,-0.270989123,-2.03705155,2.101653842,-0.762821132,-0.663517684,-5.746195994,-0.693388204,1.458527279,-5.478148571
Module_29,-3.163682828,-2.984100198,1.751669611,2.584374438,0.316030945,3.1059659,2.432959457,2.047304339,-1.933116774,0.51767219,3.661870151,1.244891179,0.720261892,-6.649922609,-1.44041733,1.157252933,-3.369013296
Module_30,4.517649583,-4.273761576,1.529344719,4.410573664,2.237241968,-0.572820006,3.583259849,4.288617523,4.306829907,-1.364820116,-6.357906562,-2.939537178,0.988434825,-5.329563328,-1.389647279,-0.120957345,-3.512938649
Module_31,-1.496373911,4.434910968,-7.063547765,-6.745169798,-4.206490728,-2.352184206,-4.844843978,-4.448374727,-3.73950632,3.802618726,1.042105346,2.691905712,2.867718793,5.471593875,5.753878287,2.611979267,6.219780459
Module_32,-3.375026384,1.036875516,7.406540699,1.315843564,-1.250529375,2.200214959,4.768189625,-3.063514088,2.512841436,-4.180156351,1.819272228,0.047425422,-2.450125383,-1.723614565,-3.185257999,0.316257126,-2.19523643
Module_33,3.680047674,3.828922925,4.816165275,-3.104655388,-1.2375855,-0.572094112,4.451059576,-5.637582405,-4.359670964,-4.81846594,4.733173854,0.176901986,-2.390485886,0.61017805,1.013778395,1.69810618,-2.887793719
Module_34,4.387695016,-4.530937813,2.697278241,3.726487414,1.219912964,3.922262473,2.384093128,2.688580918,-1.487291709,-4.114354906,4.619465587,-0.602890466,0.134218809,-7.14094769,-2.092584733,-1.783811498,-4.027175735
Module_35,-0.402357786,1.116565896,4.403954005,-5.724687093,-1.986413376,-1.993946192,-0.59874639,-0.94757257,-1.256631856,1.56015102,3.122047356,3.24219169,2.613395258,-2.541444921,-1.475993865,0.080788638,0.788700186
Module_36,-0.506314561,4.424797786,2.355590191,-4.896310935,-3.70981212,-2.36124086,-0.522990827,-1.139803476,1.285166863,2.437566311,-2.474525291,2.075473387,0.157562694,4.149096278,-3.47116962,-2.860390895,5.057305075
Module_37,1.256179149,-2.894116085,-3.880501998,4.585242748,2.69209267,1.268995184,-0.34225279,2.255917698,2.111723313,-0.002787779,0.819176772,-1.274621579,-1.235822787,-2.590415386,-1.035140521,0.030295813,-1.763964423
