,MW_6_41,MD_15_10,MD_17_16,MD_17_17,MW_6_42,QC_62,AD_21_58,MD_11_1,AD_21_59,MD_16_13,QC_63,AD_20_54,MW_6_43,MW_2_31,MW_1_24,MD_17_18,AD_20_55,MD_17_19,MW_5_38,QC_64,MW_10_28,MW_1_25,MW_2_32,MW_6_44,MW_5_39,MW_3_34,MW_3_35,MW_1_26,MW_5_40,MD_15_11,MW_9_51,AD_21_60,MW_8_48,MW_1_27,QC_65,AD_20_56,AD_21_61,MD_17_20,MW_9_52,MW_9_53,MD_18_21,MW_3_36,MW_10_29,MW_7_45,MD_14_7,MW_2_33,MW_3_37,MW_7_46,QC_66,MW_7_47,MW_8_49,MW_8_50,MW_10_30,MD_11_2,MD_12_4,MD_11_3,MD_12_5,MD_12_6,MD_14_8,MD_14_9,MD_15_12,MD_16_14,MD_18_22,AD_20_57,MD_18_23,MD_16_15,QC_GC_67
X2565_481.1545_8.25_neg,16804.6085,3648.462598,3618.109336,NA,57980.18974,640199.4201,4676906.657,3340.53999,7410797.365,27604.21876,580240.0619,702372.084,55739.46612,7364.886152,56343.43568,36576.50918,1358900.624,10688.48764,26736.80259,592148.3077,36121.59029,12546.23597,10865.09288,82463.42805,13644.83136,10424.69911,236871.6627,96783.60252,58933.86714,NA,66708.06616,3525570.663,146104.2292,30880.82871,449907.3182,2659917.956,6044900.623,NA,54201.14102,28681.64238,25282.42342,218477.3974,47398.50961,NA,52283.48329,15793.12261,212093.9827,NA,612631.9048,NA,117521.3243,NA,82960.0314,3156.053426,6946.431355,NA,NA,NA,14138.88546,NA,4871.159106,14369.79108,19180.79789,882766.952,3877.188516,11063.76514,
X2581_383.1716_7.60_neg,140759.5581,12012.23824,43767.52011,51990.6374,512036.1649,680313.4933,17412.94057,18815.29074,8641.617949,147850.279,708403.6943,33414.82406,521090.3522,1784386.022,855312.3892,751959.4875,16247.36396,430463.7984,1220893.521,691398.0504,844811.8988,413817.8561,1485020.514,463711.7615,916501.63,389609.7783,2615538.79,1527517.823,1525305.264,NA,1010945.665,7559.042314,376922.5805,875171.2787,564063.2386,3963.110684,NA,246991.7862,1355481.303,987934.7443,288434.7581,2462981.219,1708493.97,2768.966219,171203.238,1536775.759,2416603.335,4987.466777,600399.5865,NA,346276.8002,NA,1209986.975,7137.689165,133182.8718,NA,101846.0321,NA,179880.3419,NA,6189.328301,104269.464,136946.9949,10216.78148,61399.88466,33878.10418,
X2583_367.1054_8.97_neg,NA,4603.133188,NA,NA,5710.979736,810799.2489,NA,NA,13683.87111,3435.96854,812292.5758,8295.543867,NA,5195.471096,NA,NA,9492.022061,NA,24138.4142,754257.485,8041669.047,NA,4797.641089,NA,47415.28523,1739021.612,361361.77,4266.518306,80445.63038,NA,4393.000225,7166.126168,25689.20065,NA,687051.1246,7307.405918,17861.23522,NA,NA,NA,NA,851295.9919,17100000,NA,72419.82568,NA,467076.8699,NA,727597.5132,NA,7426.560293,2487.595811,11600000,8671.937645,3888.783062,NA,4123.166763,NA,10323.5509,NA,NA,NA,3399.941982,3325.943525,NA,NA,
X2585_675.2771_11.53_neg,14481.09536,406363.0952,364133.1394,601631.3396,50693.70669,503526.6567,5389.711289,416442.0117,43097.14428,1128390.911,642026.0924,10260.72595,4279.909592,13204.91111,11477.0146,3933578.406,18806.10349,2267651.154,1000522.042,558627.132,18300.64309,5148.721377,22220.73871,4809.61333,458447.4759,385312.9093,337305.7712,11472.09907,1998263.548,12261.67094,4567359.913,43378.11798,20406.29669,4394.948599,515892.5776,23877.03105,25063.8575,2856159.419,2897602.922,3633080.33,1289017.399,327492.9119,88305.676,NA,41697.97075,11773.69978,336156.7243,NA,564042.2123,NA,7195.30585,NA,32805.77297,328035.0788,627234.724,NA,314289.3986,NA,37971.83144,NA,154562.9465,437914.2173,682146.0332,5182.099453,217431.7032,379036.7901,
X2586_625.1908_9.46_neg,7438.428428,5614.24834,NA,6496.088555,6258.586377,584591.9966,5763.51542,4243.630723,6926.301533,720356.422,486360.9464,11295.42533,204733.1503,389700.5033,NA,765314.2535,14374.1083,352033.9903,1616498.884,545732.5846,386505.7972,NA,339481.864,55080.0954,1980227.673,173874.7236,486095.923,NA,8838679.487,41314.91258,3899010.954,NA,33170.9906,20293.75244,481306.1662,3765.531621,6206.403779,483021.0096,3038375.096,3628237.394,163494.5801,324574.8411,1108656.302,NA,11085.07607,243863.4734,367979.8031,NA,592923.7904,NA,14718.86067,2427.987079,694406.8744,9385.985435,28151.51156,NA,19055.40393,NA,18693.99009,NA,20684.96617,317020.1524,107864.5545,4584.340304,4421.902061,8042.437852,
X2605_394.0330_7.21_neg,NA,3513.318457,11586.13955,23210.36049,9803.467441,576547.6406,161232.5564,7823.740195,1636745.264,41800.02868,580814.9314,1158267.124,NA,NA,12467.4375,34665.4501,1606922.421,NA,1536356.29,482680.6967,1392524.103,10323.98282,11863.03119,24295.62032,758849.9753,282520.34,1528308.552,NA,1007772.43,56662.87008,12630.34354,1564400.088,188548.1072,1787961.378,521806.7536,1212864.175,1033648.726,29740.03096,11528.04023,21200.33692,27752.1999,1397269.674,1420918.283,3117.818232,931948.005,12576.98848,1426013.87,2808.567004,497505.7794,NA,338030.9463,NA,756998.4824,9791.06075,391768.0527,NA,178456.7826,NA,493255.3906,NA,41064.02407,14678.06897,31536.53523,223533.3238,4023.26332,3433.739266,
X2647_297.1104_6.63_neg,26328.59672,16661.2774,7131.633256,9419.137441,27672.55579,363896.4128,37742.85313,19579.57735,1644010.12,368664.353,429742.4578,435646.851,218457.7884,651629.9491,588988.5066,377435.6524,760229.702,387093.549,330289.9601,457784.5861,1058461.088,8295.125925,291817.1557,198383.4197,334279.1412,263380.57,931880.7954,561597.2797,776022.3552,223997.5926,357627.0707,1904290.306,7534.667256,528252.7662,519044.392,143785.4169,568715.905,180168.6758,192286.0704,247502.2237,910829.762,271134.875,2418385.206,2317.120549,424136.0658,422348.1321,684020.1527,NA,593004.312,NA,17109.1662,NA,1816927.026,24366.23095,22778.58289,NA,21946.96039,NA,340693.0819,NA,75137.13472,274582.4964,373142.4667,14863.92003,79565.7373,4999.544253,
X2653_467.2135_9.51_neg,1329761.143,2441538.259,298954.16,188177.9684,427837.328,667669.8536,495754.3258,4076481.244,507793.3335,154014.6257,689705.2768,223961.3763,293986.4477,260972.2168,388752.8407,448503.6061,368907.3061,431856.7702,1494670.194,612570.6015,278978.5289,432148.4914,256764.3469,264430.061,884169.3562,76672.96566,144025.3142,354718.3994,757464.833,431689.1872,749350.2098,346515.2905,463677.1993,292413.0178,537841.3469,346879.1126,381358.7236,179360.8668,1127323.086,703523.4377,329474.8988,201533.3214,1435844.296,9783.680479,172790.9275,131730.2983,176349.4238,10672.77668,586408.3432,NA,383366.3985,NA,792403.4187,2588929.542,169129.2914,NA,281856.8434,NA,140644.2892,3311.253545,1290465.018,626010.5118,1153151.375,351470.2188,1709370.026,999317.617,
X2658_698.2569_7.79_neg,460571.6992,377407.7672,156661.5651,96301.31187,350595.1934,559658.9946,430262.7116,459906.1215,865833.3268,450264.3481,553237.6371,1036023.002,192927.1879,1094653.316,228493.9166,336898.7585,1427329.232,552532.0574,83640.61743,571244.7704,1228298.269,466290.7053,797770.0385,111911.8991,89286.91708,178384.8391,650200.4658,558204.6684,279727.5022,258163.9849,666153.3587,925713.9315,382573.7064,186599.4298,459185.5718,246811.4309,955584.6091,90407.90446,730835.0406,901286.8761,373255.8681,507691.3642,2404602.885,9534.325927,288245.6825,685927.1334,529893.0788,26403.09864,600891.8203,NA,335582.742,NA,1854944.708,346547.2778,376297.7742,NA,237312.4955,2917.003301,240037.875,NA,322865.8436,330038.2585,414640.6478,869824.6505,363332.3091,228922.5653,
X2659_199.0622_4.60_neg,2216819.217,443671.1586,620012.3931,766533.0061,1834888.992,856027.6561,610519.7917,497768.9882,1493873.028,288262.2217,833896.6185,1616360.548,194830.0509,860837.6102,422673.9836,389565.4912,2007287.286,595016.8233,1063481.159,911266.5972,729306.8504,557794.9314,1162463.315,138576.5744,434175.3211,144040.445,562751.359,349565.4297,550630.1824,441097.5311,386404.5215,1243159.616,1401135.535,115153.5562,776261.9086,1578499.639,1797803.633,383013.1228,451410.982,663993.7647,507120.4331,403056.2063,1438881.796,113282.729,595580.1826,581075.2142,409118.3632,52567.06107,899519.6265,8179.471498,979977.5654,10390.98591,1102840.318,405539.4014,664359.5411,7987.155308,455396.5293,5610.818218,388971.8125,9011.823191,526687.1925,395691.1444,905943.0807,946406.3816,1052279.089,496390.6906,
X2666_616.1106_6.64_neg,10666.32526,165458.0153,50891.47626,55934.66402,146049.5285,679057.6458,13558.56738,113023.8079,NA,1314244.987,626037.4771,38926.43635,94033.86493,831574.6294,1277029.61,1371826.864,116910.2793,2630306.372,349517.5836,632317.3284,1043450.61,687881.0308,205794.8985,159410.3799,377130.6416,590571.134,1365489.109,1225844.164,1930681.977,782406.4302,900062.1235,NA,259117.1562,673505.0536,528567.2105,NA,NA,796239.6592,1124889.576,1513097.221,487986.5634,1249252.777,1175019.741,NA,144188.2088,413090.3692,1205673.104,NA,644218.9717,NA,150879.2562,NA,1055434.501,49079.23842,93087.47541,NA,34342.57741,NA,45737.59355,NA,487298.5432,840861.9236,143204.1727,3618.769351,124165.0147,398293.5121,
X2678_379.0297_4.22_neg,21600000,14800000,24800000,20100000,28500000,17900000,28989.73909,11700000,37494.22114,28100000,1045640.044,13867.94377,22200000,10700000,16300000,29900000,18798.39963,36100000,40978.85776,976064.0908,7938990.863,21100000,2.60E+07,15500000,12606.15917,3770563.777,4197363.769,16400000,15732.53287,34400000,22300000,94844.89178,7112470.949,22052.25125,789549.0306,77650.0492,36096.52025,21500000,33600000,23600000,30300000,3414591.038,12200000,10700000,2082143.921,13400000,3496634.251,1.10E+07,1182298.121,NA,10900000,NA,10200000,26200000,1920754.847,NA,1399252.576,NA,1841673.468,NA,4627039.097,15900000,12600000,3341.063892,27500000,10500000,
