,Modules
X24_315.0725_3.60_neg,25
X2416_201.1218_3.55_neg,17
X2359_536.2041_9.16_neg,34
X2385_321.1716_12.22_neg,10
X1614_371.1253_9.03_neg,45
X2342_471.0881_10.38_neg,14
X2321_609.2193_9.03_neg,15
X229_644.0086_4.96_neg,10
X2236_855.3671_10.86_neg,31
X2280_594.1561_4.09_neg,41
X225_549.0887_7.40_neg,20
X222_519.1873_7.61_neg,51
X2213_271.0617_10.47_neg,8
X2189_359.1207_3.63_neg,50
X2194_663.2889_8.21_neg,4
X2187_651.0872_5.68_neg,20
X2204_501.3051_11.04_neg,3
X2198_471.1479_6.39_neg,42
X2159_371.1323_6.28_neg,23
X217_483.2170_8.58_neg,13
X2127_361.1865_11.11_neg,35
X1556_407.1895_7.28_neg,10
X1109_465.2000_8.34_neg,7
X2036_437.1068_7.77_neg,8
X986_1087.5707_10.11_neg,47
X2_461.0733_7.67_neg,20
X199_433.0800_7.33_neg,20
X997_493.1408_10.84_neg,29
X2007_677.2833_8.17_neg,34
X1978_579.1369_7.45_neg,20
X966_973.5018_9.90_neg,49
X1729_393.2113_7.30_neg,3
X3998_1135.5549_9.25_neg,49
X1943_563.3048_8.26_neg,4
X1937_303.0527_7.21_neg,8
X195_393.1772_6.40_neg,13
X1929_294.0981_6.14_neg,41
X8904_561.3240_8.34_neg,3
X1927_391.1621_7.41_neg,2
X164_373.1424_7.63_neg,45
X1935_533.2590_11.50_neg,7
X903_537.1979_6.15_neg,44
X19_311.0432_4.22_neg,10
X1890_172.0611_5.21_neg,39
X1926_433.0824_7.45_neg,20
X191_427.1967_6.63_neg,6
X188_278.0675_5.30_neg,22
X830_779.4591_12.92_neg,47
X1839_375.1663_10.50_neg,2
X182_278.0676_5.01_neg,22
X785_620.1256_5.65_neg,30
X1852_747.3454_11.63_neg,1
X172_395.1922_5.57_neg,35
X713_747.3458_11.04_neg,1
X679_1037.5332_13.06_neg,1
X180_681.2429_5.86_neg,22
X1816_729.3333_12.53_neg,1
X741_1213.6021_11.98_neg,40
X16393_729.3325_12.49_neg,1
X1086_227.1286_11.27_neg,48
X66_925.5178_12.66_neg,47
X1588_371.1428_8.36_neg,46
X670_417.0836_8.03_neg,20
X617_363.1661_7.73_neg,27
X177_447.0923_7.68_neg,20
X1769_387.1505_8.87_neg,45
X6166_567.2090_7.64_neg,44
X629_527.3224_12.38_neg,3
X581_352.1039_5.48_neg,13
X185_239.0573_5.19_neg,16
X1557_373.1144_6.62_neg,8
X612_249.1131_12.59_neg,2
X605_661.2727_10.69_neg,1
X174_301.0355_9.51_neg,20
X1117_547.3127_9.50_neg,4
X532_293.1243_4.98_neg,2
X175_609.1472_6.21_neg,20
X548_435.2200_5.27_neg,36
X491_447.1303_11.24_neg,8
X168_241.0365_3.06_neg,27
X488_415.1973_7.66_neg,9
X1713_755.4079_10.41_neg,43
X511_337.1504_4.50_neg,3
X166_579.2088_8.80_neg,15
X468_279.1086_3.70_neg,2
X16297_440.8443_9.36_neg,14
X4254_771.4013_9.24_neg,43
X448_607.1299_7.58_neg,20
X13047_456.0733_6.39_neg,42
X111_639.1766_3.02_neg,41
X16_279.0510_7.00_neg,22
X414_391.1963_6.44_neg,35
X15681_653.1925_3.55_neg,41
X3932_463.1245_10.45_neg,8
X1564_366.0256_3.13_neg,13
X40_941.5125_12.47_neg,1
X3976_381.0822_5.82_neg,11
X1584_403.1151_8.04_neg,10
X1522_309.1192_5.11_neg,39
X131_429.1768_8.25_neg,2
X3672_653.1922_3.37_neg,41
X1486_308.0786_4.59_neg,18
X328_164.0684_3.24_neg,27
X3243_477.2252_6.13_neg,36
X143_467.2135_8.88_neg,14
X1452_563.2140_8.11_neg,29
X14434_667.0001_5.92_neg,22
X35_323.1349_4.42_neg,10
X3214_805.3310_9.49_neg,38
X1416_421.2437_11.33_neg,2
X102_441.0841_8.89_neg,14
X3228_709.2973_8.94_neg,1
X30_1051.5495_13.09_neg,40
X140_387.1663_6.13_neg,28
X1412_395.1920_8.04_neg,4
X304_729.3352_12.90_neg,1
X1358_379.1969_9.25_neg,4
X2962_621.3126_8.43_neg,3
X134_309.0615_7.34_neg,22
X1335_245.1391_8.56_neg,2
X28_725.1942_6.68_neg,26
X1343_245.0937_7.32_neg,39
X1105_379.1972_7.59_neg,35
X1326_333.1917_11.05_neg,10
X13331_471.2572_10.37_neg,3
X274_429.2101_7.08_neg,37
X25_741.1929_6.19_neg,26
X245_487.0884_9.61_neg,14
X1044_221.0691_12.23_neg,3
X259_389.1819_5.95_neg,28
X13128_471.2561_10.20_neg,4
X231_187.0969_8.08_neg,27
X123_285.0406_10.76_neg,20
X227_309.1192_3.43_neg,32
X1292_762.0360_6.47_neg,20
X2427_391.1923_7.47_neg,3
X13_593.1509_7.42_neg,29
X1036_755.2043_5.55_neg,29
X220_491.2139_8.87_neg,7
X1258_623.1269_5.50_neg,20
X219_1229.5963_11.79_neg,1
X103_387.1663_5.52_neg,28
X1282_509.2228_6.47_neg,35
X148_295.1036_2.51_neg,32
X2207_679.2827_11.33_neg,1
X101_371.2301_5.40_neg,10
X1244_461.1056_7.23_neg,10
X2153_693.2780_7.81_neg,34
X1211_647.2959_9.20_neg,13
X2082_565.3229_7.82_neg,4
X1016_525.2248_9.20_neg,13
X2105_557.2604_12.21_neg,7
X1207_401.1666_3.71_neg,2
X12_595.1310_6.47_neg,20
X197_795.4546_12.65_neg,1
X2058_267.0273_10.66_neg,8
X1481_855.3652_10.28_neg,31
X10_295.0460_5.96_neg,22
X1913_1117.5452_10.33_neg,1
X1952_803.3149_10.88_neg,38
X1170_267.1182_9.16_neg,2
X1131_230.0663_3.25_neg,27
X1828_731.3532_12.65_neg,1
X1128_383.2075_10.95_neg,2
X1880_441.1048_5.35_neg,22
X1141_229.1070_4.67_neg,27
X1054_347.0985_3.07_neg,27
X1872_593.2819_8.31_neg,7
X10901_677.1737_8.52_neg,1
X18_1067.5438_12.94_neg,1
X1795_159.0654_5.35_neg,2
X1067_379.1960_10.65_neg,2
X1115_361.1418_6.33_neg,37
X135_1037.5336_12.91_neg,1
X1110_493.2281_7.39_neg,36
X1049_357.1401_3.14_neg,2
X1771_425.2189_11.87_neg,2
X10516_563.3004_8.06_neg,25
X16016_355.1250_3.20_neg,2
X1030_331.1764_10.27_neg,2
X1019_229.1443_11.89_neg,2
X1572_411.1664_9.38_neg,2
X1589_261.0412_8.99_neg,22
X1531_431.1194_5.36_neg,19
X15377_533.2272_9.44_neg,7
X15337_433.1154_5.18_neg,8
X1431_563.1620_5.28_neg,35
X13494_447.1113_3.68_neg,25
X1404_741.2611_7.84_neg,15
X1183_1083.5399_11.63_neg,1
X1048_521.3331_10.03_neg,21
X108_377.1819_6.67_neg,35
X1114_347.0988_5.23_neg,33
X114_645.2781_12.39_neg,1
X10607_661.3416_10.71_neg,7
X1059_629.2662_8.44_neg,14
X983_367.1402_9.28_neg,3
X1052_471.0908_9.57_neg,14
X1013_417.1100_7.19_neg,35
X960_415.1295_7.62_neg,8
X981_839.3361_7.43_neg,34
X954_543.3164_11.22_neg,3
X1922_543.3173_11.59_neg,3
X9540_221.0641_9.28_neg,3
X946_571.2379_9.06_neg,3
X919_206.0818_6.55_neg,27
X828_305.0880_3.74_neg,33
X930_477.0713_6.32_neg,20
X907_295.1093_3.18_neg,32
X891_441.2464_10.91_neg,3
X888_491.1441_6.12_neg,4
X408_595.1673_5.35_neg,30
X892_578.1103_5.32_neg,30
X88_325.0930_5.10_neg,10
X884_215.1284_10.69_neg,2
X875_359.1000_6.16_neg,4
X853_308.0786_5.48_neg,22
X849_308.0787_5.78_neg,22
X847_129.0546_5.20_neg,2
X2822_395.1920_7.82_neg,4
X8425_433.1140_7.84_neg,20
X1938_837.3521_11.12_neg,31
X836_594.1105_5.07_neg,30
X840_447.1890_10.49_neg,4
X84_533.0939_8.09_neg,29
X824_337.1506_5.45_neg,10
X810_225.1133_6.36_neg,28
X8133_146.9384_8.02_neg,2
X8072_667.0001_5.97_neg,22
X7985_488.8265_7.91_neg,23
X725_201.1127_9.42_neg,27
X795_405.2124_8.49_neg,3
X757_471.0902_9.21_neg,14
X77_593.1217_7.00_neg,26
X723_287.0559_8.23_neg,8
X75_463.2554_8.49_neg,4
X7220_471.0867_10.48_neg,14
X74_309.0607_7.21_neg,22
X722_623.1273_6.97_neg,26
X72_331.0665_3.24_neg,25
X710_535.0735_9.20_neg,20
X71_429.1768_7.47_neg,2
X711_697.2358_9.37_neg,24
X358_697.2351_8.85_neg,24
