row m/z,row retention time,41_neg.mzXML filtered Peak m/z,41_neg.mzXML filtered Peak RT,41_neg.mzXML filtered Peak RT start,41_neg.mzXML filtered Peak RT end,41_neg.mzXML filtered Peak height,41_neg.mzXML filtered Peak m/z min,41_neg.mzXML filtered Peak m/z max,54_neg.mzXML filtered Peak m/z,54_neg.mzXML filtered Peak RT,54_neg.mzXML filtered Peak RT start,54_neg.mzXML filtered Peak RT end,54_neg.mzXML filtered Peak height,54_neg.mzXML filtered Peak m/z min,54_neg.mzXML filtered Peak m/z max,28_neg.mzXML filtered Peak m/z,28_neg.mzXML filtered Peak RT,28_neg.mzXML filtered Peak RT start,28_neg.mzXML filtered Peak RT end,28_neg.mzXML filtered Peak height,28_neg.mzXML filtered Peak m/z min,28_neg.mzXML filtered Peak m/z max,15_neg.mzXML filtered Peak m/z,15_neg.mzXML filtered Peak RT,15_neg.mzXML filtered Peak RT start,15_neg.mzXML filtered Peak RT end,15_neg.mzXML filtered Peak height,15_neg.mzXML filtered Peak m/z min,15_neg.mzXML filtered Peak m/z max,2_neg.mzXML filtered Peak m/z,2_neg.mzXML filtered Peak RT,2_neg.mzXML filtered Peak RT start,2_neg.mzXML filtered Peak RT end,2_neg.mzXML filtered Peak height,2_neg.mzXML filtered Peak m/z min,2_neg.mzXML filtered Peak m/z max,
923.1533630371093,7.672583333333334,923.1535034179688,7.6641666666666675,7.623916666666667,7.727433333333334,2.49387216E8,923.1529541015625,923.154296875,923.1530456542969,7.672116666666667,7.626099999999999,7.729616666666667,2.69182528E8,923.152099609375,923.1533203125,923.153564453125,7.6746,7.628583333333333,7.7321333333333335,2.63425328E8,923.1527709960938,923.1543579101562,923.153564453125,7.675916666666667,7.6299,7.733433333333333,2.81888256E8,923.1525268554688,923.154052734375,923.1531372070312,7.676116666666667,7.6301,7.733633333333333,2.99114656E8,923.1525268554688,923.15478515625,
595.1310913085938,6.4706166666666665,595.131103515625,6.4688,6.307633333333333,6.572766666666666,2.46383904E8,595.1305541992188,595.1318359375,595.1309204101562,6.466783333333334,6.303299999999999,6.578583333333333,2.57324256E8,595.1302490234375,595.1314697265625,595.1311645507812,6.468283333333333,6.304833333333334,6.589250000000001,2.5177016E8,595.130615234375,595.1319580078125,595.1312866210938,6.47485,6.305633333333334,6.590050000000001,2.5695104E8,595.1307373046875,595.1319580078125,595.1309814453125,6.474366666666667,6.3052,6.555000000000001,2.64946432E8,595.1304931640625,595.1317138671875,
593.1516418457031,7.41656,593.1517333984375,7.411883333333334,7.360116666666667,7.49815,2.14216112E8,593.1514282226562,593.1525268554688,593.1514282226562,7.4141,7.3566,7.531633333333334,2.4731928E8,593.150390625,593.1522216796875,593.1517028808594,7.422300000000001,7.3648,7.5168333333333335,2.24862896E8,593.1512451171875,593.1524658203125,593.15185546875,7.417883333333333,7.360366666666667,7.541166666666667,2.34058096E8,593.1514892578125,593.1525268554688,593.1514892578125,7.416633333333333,7.364866666666667,7.529883333333333,2.36145184E8,593.15087890625,593.15234375,
473.07253112792966,6.927786666666667,473.07257080078125,6.9134166666666665,6.781116666666667,7.052416666666667,2.0845096E8,473.0721740722656,473.07305908203125,473.0722961425781,6.911233333333333,6.753633333333334,7.054966666666667,2.37962288E8,473.072021484375,473.0728759765625,473.0726318359375,6.94335,6.787133333333333,7.046833333333334,2.24899824E8,473.0722961425781,473.07305908203125,473.0726776123047,6.938916666666667,6.799416666666667,7.0597,2.45587184E8,473.0722961425781,473.07305908203125,473.0724792480469,6.932016666666667,6.7931,7.052766666666667,2.58013712E8,473.072021484375,473.0729064941406,
119.0490592956543,6.809803333333333,119.04906845092773,6.8098833333333335,6.681033333333334,6.88465,1.97845648E8,119.04902648925781,119.04913330078125,119.04900360107422,6.807683333333333,6.661600000000001,6.893966666666667,2.01792208E8,119.04894256591797,119.0490493774414,119.0490951538086,6.810149999999999,6.67555,6.896416666666667,2.0104592E8,119.04904174804688,119.04917907714844,119.04908752441406,6.810933333333334,6.745333333333334,6.8857,1.96467696E8,119.04904174804688,119.04916381835938,119.04904174804688,6.810366666666667,6.7505500000000005,6.8909,2.0918064E8,119.04899597167969,119.04907989501953,
279.0509094238281,6.998136666666667,279.0509338378906,7.000666666666667,6.88465,7.063916666666667,1.76512688E8,279.0508117675781,279.0511779785156,279.05079650878906,6.991733333333333,6.888216666666667,7.077966666666667,1.95353088E8,279.0506286621094,279.0510559082031,279.05096435546875,7.0008333333333335,6.890666666666666,7.058333333333334,1.98369504E8,279.0506896972656,279.0511474609375,279.0509796142578,6.996433333333333,6.8972,7.06545,2.10377488E8,279.05084228515625,279.05120849609375,279.0508728027344,7.001016666666667,6.8909,7.0757666666666665,2.2403112E8,279.0506591796875,279.051025390625,
609.1461547851562,6.852366666666667,609.1461791992188,6.85015,6.804116666666667,6.931633333333334,1.51877584E8,609.1445922851562,609.1471557617188,609.1458740234375,6.84795,6.801933333333333,6.928483333333333,1.6563512E8,609.1453857421875,609.14697265625,609.146240234375,6.8504,6.804383333333333,6.937583333333333,1.63903136E8,609.1456909179688,609.1472778320312,609.1463012695312,6.856933333333333,6.805183333333333,6.927416666666667,1.72717296E8,609.1455078125,609.1473388671875,609.1461791992188,6.8564,6.804616666666666,6.926266666666667,1.6459672E8,609.1456909179688,609.1470947265625,
1067.5440673828125,12.942416666666668,1067.5443115234375,12.938516666666667,12.873633333333334,13.015666666666668,1.51166512E8,1067.5362548828125,1067.5447998046875,1067.5438232421875,12.941483333333334,12.876416666666668,13.041633333333333,1.4764816E8,1067.53564453125,1067.5445556640625,1067.5440673828125,12.94615,12.881316666666667,13.023233333333334,1.60412592E8,1067.5384521484375,1067.5450439453125,1067.5443115234375,12.9401,12.87515,13.028699999999999,1.51139936E8,1067.5357666015625,1067.545166015625,1067.5438232421875,12.945833333333333,12.881266666666667,13.034416666666667,1.56603152E8,1067.536865234375,1067.544677734375,
311.0410980224609,4.213286666666667,311.0410461425781,4.2068666666666665,4.118433333333333,4.3818,1.15332552E8,311.0409240722656,311.04119873046875,311.041015625,4.2078,4.110016666666667,4.399933333333333,1.30225304E8,311.0408630371094,311.0411376953125,311.0411376953125,4.216816666666666,4.116866666666667,4.328433333333334,1.3059652E8,311.0409851074219,311.041259765625,311.041259765625,4.2176,4.125566666666667,4.3234,1.47326672E8,311.0411071777344,311.04144287109375,311.04103088378906,4.21735,4.123166666666666,4.31745,1.33644296E8,311.0408630371094,311.04119873046875,
133.0131576538086,5.9559733333333345,133.0131607055664,5.956733333333333,5.789966666666667,6.025766666666667,1.0722832E8,133.0131072998047,133.01321411132812,133.01312255859375,5.945266666666667,5.7999,6.028033333333334,1.14770392E8,133.01304626464844,133.01321411132812,133.01319885253906,5.966566666666667,5.805533333333333,6.029816666666666,1.13427432E8,133.01309204101562,133.01324462890625,133.01318359375,5.95585,5.800566666666667,6.030600000000001,1.3461544E8,133.01307678222656,133.0132293701172,133.01312255859375,5.95545,5.8116666666666665,6.030216666666666,1.24738496E8,133.0130615234375,133.01319885253906,
692.1127075195312,7.671433333333333,692.1127624511719,7.6699166666666665,7.629666666666666,7.715916666666667,9.917152E7,692.112548828125,692.1132202148438,692.1123962402344,7.666366666666667,7.626099999999999,7.712366666666667,1.16989288E8,692.1123046875,692.1127319335938,692.1128540039062,7.6746,7.634333333333333,7.720633333333334,1.12550888E8,692.112548828125,692.1130981445312,692.1129150390625,7.670166666666666,7.63565,7.721933333333333,1.06197328E8,692.1126098632812,692.1130981445312,692.1126098632812,7.676116666666667,7.6358500000000005,7.722133333333333,1.03208192E8,692.1122436523438,692.1133422851562,
133.01311340332032,6.999286666666667,133.01312255859375,7.000666666666667,6.87315,7.058166666666667,9.859248E7,133.01307678222656,133.02842712402344,133.0130615234375,6.997483333333333,6.865216666666667,7.060716666666666,1.07478216E8,133.01300048828125,133.02833557128906,133.0131378173828,7.0008333333333335,6.8619,7.069833333333333,1.071158E8,133.01304626464844,133.02842712402344,133.0131378173828,6.996433333333333,6.8742,7.05395,1.216982E8,133.01307678222656,133.01319885253906,133.0131072998047,7.001016666666667,6.87365,7.058516666666667,1.3841088E8,133.01300048828125,133.0131378173828,
1113.549560546875,12.942416666666668,1113.5496826171875,12.938516666666667,12.862133333333333,13.015666666666668,9.731908E7,1113.541015625,1113.5504150390625,1113.5491943359375,12.941483333333334,12.882166666666667,13.024383333333333,9.6392624E7,1113.5484619140625,1113.5499267578125,1113.5498046875,12.94615,12.881316666666667,13.0635,9.714052E7,1113.5450439453125,1113.5511474609375,1113.5498046875,12.9401,12.8694,13.0172,9.666656E7,1113.5411376953125,1113.55029296875,1113.54931640625,12.945833333333333,12.875516666666666,13.011416666666666,9.8516496E7,1113.5435791015625,1113.5498046875,
315.07244262695315,3.6051066666666665,315.0724792480469,3.6022499999999997,3.5251666666666663,3.6827666666666667,9.2514496E7,315.0723876953125,315.0726013183594,315.0723876953125,3.60505,3.5245333333333333,3.691333333333333,9.5042816E7,315.0722961425781,315.0725402832031,315.07244873046875,3.6071999999999997,3.526683333333333,3.684466666666667,9.8346032E7,315.07232666015625,315.07257080078125,315.07257080078125,3.6033,3.5227833333333334,3.6838166666666665,9.9429104E7,315.0723876953125,315.0726623535156,315.07232666015625,3.6077333333333335,3.5444666666666667,3.685,1.0362136E8,315.0721740722656,315.0724792480469,
741.1896545410157,6.1978333333333335,741.1898193359375,6.1983500000000005,6.071766666666666,6.273116666666667,8.5979128E7,741.1885986328125,741.190673828125,741.1892700195312,6.191516666666667,6.0798000000000005,6.2688,9.8125576E7,741.1886596679688,741.1903076171875,741.1897583007812,6.19555,6.070083333333333,6.276066666666667,9.7259112E7,741.1891479492188,741.1907348632812,741.1898193359375,6.202083333333333,6.070883333333333,6.288383333333333,9.5687832E7,741.188720703125,741.1904907226562,741.1896057128906,6.201666666666667,6.07625,6.299449999999999,9.2416976E7,741.1884155273438,741.1904296875,
559.1091125488281,6.99929,559.1092224121094,7.000666666666667,6.907666666666667,7.046666666666667,8.4756048E7,559.1083374023438,559.1095581054688,559.1089172363281,6.991733333333333,6.9227333333333325,7.043483333333333,9.6166512E7,559.10791015625,559.1107788085938,559.109130859375,7.0008333333333335,6.890666666666666,7.052583333333333,9.3555344E7,559.1080932617188,559.1104125976562,559.1093139648438,7.0022,6.927416666666667,7.05395,8.744716E7,559.1083984375,559.1122436523438,559.1089782714844,7.001016666666667,6.90815,7.052766666666667,9.9853744E7,559.1082153320312,559.109619140625,
179.0341766357422,5.9594233333333335,179.03419494628906,5.962483333333334,5.812966666666667,6.02,8.4334968E7,179.0341033935547,179.0342559814453,179.03411865234375,5.956766666666667,5.81715,6.022283333333333,9.232212E7,179.0340576171875,179.03421020507812,179.0342254638672,5.955066666666666,5.817033333333333,6.029816666666666,9.3765272E7,179.0341033935547,179.0343017578125,179.03421020507812,5.95585,5.817816666666667,6.030600000000001,1.0129584E8,179.0341033935547,179.03427124023438,179.0341339111328,5.96695,5.800166666666667,6.030216666666666,9.8320888E7,179.0340576171875,179.03424072265625,
725.1945068359375,6.6832633333333336,725.194580078125,6.681033333333334,6.578533333333334,6.763866666666667,8.238472E7,725.193603515625,725.195556640625,725.1941528320312,6.678866666666667,6.578583333333333,6.761666666666667,9.3897176E7,725.1932983398438,725.1952514648438,725.1947021484375,6.68705,6.5835,6.7641333333333336,9.274964E7,725.19384765625,725.1959838867188,725.1947021484375,6.682083333333334,6.5843,6.782166666666667,9.2945576E7,725.192626953125,725.1956176757812,725.1943969726562,6.687283333333334,6.583749999999999,6.764349999999999,8.9647072E7,725.193359375,725.1954956054688,
