Sample_ID,9_neg,6_neg,17_neg,8_neg,12_neg,13_neg,11_neg,19_neg,24_neg,44_neg,26_neg,37_neg,50_neg,47_neg,59_neg,61_neg,63_neg,65_neg,66_neg,67_neg,3_neg,14_neg,4_neg,23_neg,21_neg,10_neg,33_neg,31_neg,32_neg,22_neg,35_neg,27_neg,30_neg,34_neg,40_neg,29_neg,48_neg,51_neg,52_neg,38_neg,36_neg,56_neg,45_neg,46_neg,58_neg,49_neg,41_neg,54_neg,28_neg,15_neg,2_neg
Class,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,QC,QC,QC,QC,QC
669/761.1713mz/6.68min,1162870.354,3976647.059,3467.808425,1207786.69,2589528.555,2751784.612,4435.290852,3361796.646,1416230.076,3130925.717,3216167.002,2131.620931,4649759.832,2744847.193,5556.70613,4782893.532,3226857.768,2306.841466,2775176.195,1782906.754,889629.947,11941698.06,1948.056761,61594.1342,2886478.424,7331891.246,2495.437936,3154568.392,19483227.09,13238.44079,241880.3674,20392083.6,1253.945799,1271.598714,2100.172115,476218.2592,8588.330934,15269.40958,20417.40077,47199804.62,6726739.365,9884.92781,44408096.71,43605917.52,696835.5577,1168186.784,5160768.248,4818157.44,4499164.953,3252572.389,4513489.847
670/417.0836mz/8.03min,3870.221119,3666.119148,3467.808425,14116.07866,4708.787705,14966.43094,21856.35516,129525.8661,11007.31196,1626.46529,81322.83452,2556943.552,11144.06036,97318.64802,5556.70613,5474.088201,10059.30199,1552088.905,52567.3503,34566.28466,4157.070285,2724.573844,242586705.5,1457.518543,1426.464484,1947.758154,2269718.049,1793.558002,176116.6903,132239.3891,20657.73727,142758.6915,105835.9666,424566.6333,24153.14867,11320.28231,411997.7095,179862.7019,453922.3983,1567498.395,5774.787981,252667986.7,1560748.287,1782182.342,945.8622829,805.6321565,3884596.871,4149761.205,3890283.532,3828099.098,3588743.731
673/435.1303mz/7.49min,67804.75633,182283.3592,85458.04745,86572.3631,161871.5392,164118.689,203671.4678,275797.0197,6206.889587,35112.62808,44845.37191,2550299.051,74608.01115,137712.6817,111577.4636,71153.85085,43357.02696,1295561.386,182216.6285,222449.8673,133416.4363,28589.74275,3275519.889,7203.599595,8546.490036,36592.47256,27460.24262,1793.558002,691561.7495,13966.39656,7792.850005,128231.1554,30916.65056,9845.583991,19464.89592,60065.28955,9992.510622,8195.355856,10078.94152,11591.18169,12952.20519,3678324.215,7483.51696,21717.21271,419765.7716,849784.6348,4923738.115,5326784.224,5634087.602,5189371.886,5095711.845
677/417.2374mz/8.50min,3213647.874,1673669.817,1003458.656,2695739.21,3690385.304,3636282.842,2044670.032,8609616.531,8768317.595,8486562.531,7248115.949,5209594.231,2188440.638,7156561.16,930957.8074,1899091.772,2057624.003,3353345.734,5731308.754,4640670.07,4994022.589,10984215.34,2932919.51,7521035.511,6454358.303,3635712.172,3451709.382,6262265.032,5948972.57,17510269.03,12353397.56,6632991.26,11731254.41,4237598.257,16156992.2,533196.3091,4331509.775,15428173.38,4221676.041,14875767.81,6499979.634,2906152.659,16344646.71,16031587.32,983814.4816,1110764.985,3784437.448,4002264.998,3736335.379,3659341.496,3891461.912
679/1037.5332mz/13.06min,241678.9781,58138.13651,7299652.49,1221159.62,657716.904,323706.453,9619954.881,1489036.974,4227289.731,1570083.046,963327.7187,48621205.27,422087.6225,4581860.031,8780906.754,109921.5604,294543.5291,30148633.38,851212.1192,2650026.21,4157.070285,33029.14922,1948.056761,76478.38872,14970.07092,41555.37043,26727894.57,20390.29672,5707287.869,520338.6088,14198.71022,5928524.179,827961.2898,1071575.08,2570347.583,520655.675,2071446.769,919957.4788,1399796.275,2629278.647,4242828.11,30535.26781,7302013.44,2443824.203,1090564.489,1595464.703,2919909.361,2888703.97,2826331.917,2893164.242,2795188.118
682/515.1406mz/5.60min,11791096.49,3157268.734,13386250.39,7630942.301,10683796.57,4997601.28,11776480.06,29517689.35,18851993.47,25467864.84,21332336.74,10718215.21,9425.624576,11712279.2,10243703.89,1850708.269,11089.00855,10065052.42,23924762.08,9515981.234,11013587.15,9760276.017,4107089.851,15178013.02,16160351.51,4467494.671,3180723.81,14154054.18,7340719.934,18403.96952,15456955.78,9799825.087,15504.86328,9706494.993,10878762.53,8109150.784,9571414.328,16640.30983,9268510.127,30248.15186,16634387.41,3855573.086,61850.74394,29779.16013,9554506.515,9697613.043,4582209.768,4906013.55,4867548.254,4966537.16,4627759.838
683/381.1766mz/5.87min,13369068.67,5173151.651,13693892.12,6975789.808,9559533.074,5070201.666,13423704.79,2505445.049,4853326.384,5007839.916,5151487.61,13348612.17,7675748.209,2860202.947,13772394.59,4796406.456,8395653.091,10489646.03,3842535.944,3204362.478,5157143.76,6074200.211,6362176.79,2387697.33,10665027.13,14893692.91,5452126.79,9482962.171,5149314.234,5033289.658,1728885.076,5612740.396,12835130.35,3605508.803,3095010.839,5894229.229,3065753.326,6534728.591,3640097.274,7384607.096,5256648.663,5247183.528,7372196.476,6062254.879,7451644.675,7732953.485,3950358.914,3916325.958,4075410.398,4089045.977,4365494.068
684/523.3487mz/9.56min,9265187.479,14304948.9,6371427.22,5900728.063,14912085.77,19366053.08,6413803.585,7081317.404,7398201.032,7157118.239,7961190.27,7712531.837,5817936.18,4694801.37,5482887.055,12389382.49,5709358.826,5763226.654,6203945.405,4065148.627,27987582.66,30154981.37,10553237.03,11665536.62,14716831.03,12934404.3,691808.7463,18422054.91,5813062.739,11431801.07,14733614.14,3213939.36,9505919.813,3156995.512,11865092.18,10249838.24,3057249.052,11246855.78,3016536.295,7023498.099,8893453.902,9646027.484,7761309.312,6908107.068,9754936.73,9630747.804,5381265.354,5238482.898,5224900.129,5434170.439,5425770.36
685/396.1959mz/5.52min,8679819.267,14719402.72,9856566.537,5835254.184,12533270.3,10110491.47,3308839.902,1801564.822,10228650.29,2997073.126,8631651.235,4046466.105,10340400.93,3314058.139,10775848.87,14180580.65,10507230.13,3231447.699,2730404.049,3400929.666,2925223.834,4062876.475,3656532.247,7076901.242,6185919.163,8561033.895,7982074.469,6809504.291,6478914.994,2629325.036,3173305.33,8043983.866,3062749.389,6923745.672,15319476.11,7180449.367,7334754.492,1502548.187,6720884.856,10491972.22,6861559.049,3397945.69,11204820.7,11222111.13,11778589.81,15694153.48,8032189.286,4311088.023,4268541.186,4621483.975,4386838.91
686/395.1923mz/6.75min,51057973.33,55145543.58,33718630.42,62312257.94,45623499.74,79486065.48,45631730.99,333175.4644,794523.3553,642757.701,1159163.442,542363.9752,93199.48106,573795.1408,33689471.56,57882053.91,241478.5797,10592170.43,10084331.7,14839808.99,61505312.49,76590948.17,33145510.26,991161.8142,955508.7608,26896580.52,259958.2385,920241.2706,98627.52051,855936.8892,1298976.521,40963.52495,553334.407,766718.7827,1483121.087,1116955.927,728568.3085,828665.8723,848455.2524,965088.451,1133431.566,29642612.96,1108992.449,1220175.325,1277189.593,818785.4325,3845778.094,3713631.01,3929385.435,3852365.384,4068001.414
692/597.0654mz/6.81min,3870.221119,63281771.32,3467.808425,3081.66641,4708.787705,4132.590622,60741.67156,1273.44588,1149.639359,1626.46529,1011.808455,2131.620931,18461682.21,10097.81936,5556.70613,72217023.45,20227676.26,2306.841466,1527.917449,1263.272936,4157.070285,2724.573844,4845733.94,22302.7072,1426.464484,43580.59546,10108078.64,9023.811116,26139996.35,22303.44693,44811.63184,20508609.79,1253.945799,4434693.054,376597.4199,3091146.184,6299619.55,89981.93024,5558410.929,907.1596693,13132411.11,4747678.381,833.7472172,866.8446036,3386306.748,3896963.056,4358390.112,4791212.084,4708923.084,4365148.436,4313382.265
