,41_neg.mzXML.filtered,54_neg.mzXML.filtered,28_neg.mzXML.filtered,15_neg.mzXML.filtered,2_neg.mzXML.filtered,5_neg.mzXML.filtered,9_neg.mzXML.filtered,7_neg.mzXML.filtered,16_neg.mzXML.filtered,3_neg.mzXML.filtered,6_neg.mzXML.filtered,17_neg.mzXML.filtered,8_neg.mzXML.filtered,12_neg.mzXML.filtered,13_neg.mzXML.filtered,11_neg.mzXML.filtered,14_neg.mzXML.filtered,4_neg.mzXML.filtered,23_neg.mzXML.filtered,21_neg.mzXML.filtered,19_neg.mzXML.filtered,10_neg.mzXML.filtered,33_neg.mzXML.filtered,24_neg.mzXML.filtered,20_neg.mzXML.filtered,31_neg.mzXML.filtered,18_neg.mzXML.filtered,32_neg.mzXML.filtered,22_neg.mzXML.filtered,35_neg.mzXML.filtered,25_neg.mzXML.filtered,44_neg.mzXML.filtered,26_neg.mzXML.filtered,55_neg.mzXML.filtered,27_neg.mzXML.filtered,30_neg.mzXML.filtered,34_neg.mzXML.filtered,40_neg.mzXML.filtered,39_neg.mzXML.filtered,42_neg.mzXML.filtered,43_neg.mzXML.filtered,53_neg.mzXML.filtered,57_neg.mzXML.filtered,29_neg.mzXML.filtered,37_neg.mzXML.filtered,60_neg.mzXML.filtered,62_neg.mzXML.filtered,50_neg.mzXML.filtered,47_neg.mzXML.filtered,59_neg.mzXML.filtered,61_neg.mzXML.filtered,64_neg.mzXML.filtered,48_neg.mzXML.filtered,51_neg.mzXML.filtered,52_neg.mzXML.filtered,38_neg.mzXML.filtered,36_neg.mzXML.filtered,56_neg.mzXML.filtered,63_neg.mzXML.filtered,65_neg.mzXML.filtered,66_neg.mzXML.filtered,67_neg.mzXML.filtered,45_neg.mzXML.filtered,46_neg.mzXML.filtered,58_neg.mzXML.filtered,49_neg.mzXML.filtered
7288/481.2055mz/8.27min,638242.1284,817838.2531,789172.5165,727115.9114,941438.9679,45448.80526,257218.787,208304.9489,32386.75236,470302.3392,316966.9231,179753.8237,344617.9889,335252.1904,769099.9409,36209.26306,1886822.616,1658959.339,360292.5433,1916264.746,321072.1423,1064416.337,154252.1802,589093.0776,404404.4579,1447142.314,174021.4777,650306.8777,417853.2265,208242.9354,407079.9064,572333.9715,239044.9954,,858599.5375,998746.8121,479877.91,380683.1855,45140.23097,708384.9806,254441.5639,30186.99602,,815742.3244,63843.38701,,,244509.875,379590.9805,90613.44878,193271.8148,,381883.5021,728740.8428,344219.3016,1287526.09,643528.6815,1292825.379,81753.67825,98673.87542,358743.3411,219996.1826,1367653.404,1365185.218,1513897.74,1514056.051
7334/551.2711mz/7.14min,2909866.056,3132933.094,3310058.672,3244047.094,3435970.349,164596.0455,661372.2686,3011917.618,2707063.134,3759496.423,2315852.83,6228459.934,477376.9036,6357168.424,6701797.87,1961133.804,2440380.305,655577.6848,2443110.898,4547023.578,1437401.674,2271122.054,1327412.677,6040022.946,5041435.217,4881166.04,4756529.554,1415813.606,3388905.252,2315633.217,4880413.944,5166348.489,3855958.425,,2015324.028,8563898.284,1774091.984,1533631.028,4542319.681,6102716.976,4977946.889,94766.41982,,1884068.597,3404489.888,,,3309152.498,1728097.232,3930572.155,1496553.816,,2849755.108,2412581.851,2057263.512,2074257.35,1586090.066,609344.4891,2183738.072,2709553.742,1160416.279,1304508.099,1941793.219,1976127.008,2953222.829,4572303.504
7585/357.1152mz/3.07min,374612.1788,285700.5725,264629.0346,488304.4616,474202.6851,23142.1172,301831.565,940317.6838,458088.0837,732582.5145,871335.7977,1556766.249,309252.1781,218439.1973,594100.941,1289694.8,1800061.766,1600992.714,375034.3964,322305.4533,1120710.617,958500.5794,216442.9973,1062211.16,601119.7533,191159.7209,865656.1145,283776.7053,54403.11362,383618.6255,522509.0653,1194239.334,1390996.338,,115140.1975,95651.38989,310234.875,383594.953,1547497.644,97046.75546,2256550.736,43303.86296,,95269.54223,747094.4596,,,1308464.399,574663.8963,329963.1993,197036.061,,226090.8853,21354.22411,305712.8053,1500791.653,307659.305,803825.8123,373844.9845,205565.7336,407453.8379,197019.9357,1723796.601,1784382.043,106106.413,217041.4271
7971/489.3932mz/7.91min,248964.5818,236105.5265,117655.1583,248348.7737,190622.4578,,,,,,,,,,,,,7404437.072,,,,,,,,,,,,,,,,,,21736.06195,,,,,,,,,,,,,,,,,,,,,,6043881.911,,,,,,,,5999.419277
7972/489.3918mz/8.09min,238884.5261,261663.0181,263650.296,170753.2422,256663.8939,,,,,,,,,,,,,7472327.542,,,,,216386.2541,,5144.530765,,4091.41834,,,,40526.62157,,22334.53318,,4923.773203,15141.88154,99253.20757,,,,10262.44865,,,,,,,,,,,,37362.12354,7231.990449,48913.53398,9021.107229,,6422404.295,,,,,7295.96163,10742.52402,,
7980/488.8270mz/8.11min,225743.99,165110.5473,177424.8461,294055.619,207430.6255,48973.18517,96504.68144,94943.76009,47546.4132,111690.9797,92593.92741,127235.5318,26869.24822,55851.24071,98310.26593,30493.40382,44035.1365,7577691.275,52501.41406,59442.81371,97931.93487,19403.13691,321477.0647,58547.98842,43853.96613,25288.65994,41954.17714,29431.6077,24375.14282,31680.31129,30396.27958,95650.14858,49163.65966,79127.94264,73691.11088,42300.58338,82810.55777,53901.24041,39340.19232,70792.4526,80611.48875,104395.2131,76263.11441,47858.12295,53479.91827,60695.43411,125334.9422,55520.97937,66371.13253,56866.02724,44789.03002,106444.1262,52281.96204,24374.467,34438.34607,53042.71796,42922.29505,6418777.728,81057.58794,81493.86273,137849.0928,81502.44321,53176.61442,46518.61633,63078.93924,33177.97887
7985/488.8265mz/7.91min,237035.8598,255144.3618,255121.2059,282133.7153,303833.5016,79885.10337,117617.7551,86917.25943,96928.72404,45271.48705,51652.68338,91029.44331,105663.0045,68993.25902,55977.85656,125558.9201,39354.3882,8001239.758,47123.96401,21965.79691,79512.42168,36103.20385,45617.11289,32323.1696,82880.51816,15662.98787,15086.3891,68513.73365,27196.54945,14893.20393,29170.10309,50204.70659,11763.25207,116136.9093,46786.46599,40020.75166,41809.0541,82415.10109,40687.45236,60677.98836,34758.32922,91023.15286,194686.1938,86061.1707,57583.72818,74126.63666,82721.33596,30970.82452,12881.64234,71088.57677,92791.99781,37258.57957,115937.9251,55280.36175,22102.02441,57090.80619,32587.46521,6386221.202,58789.75961,91466.65354,44511.74975,23707.89328,26803.14029,42957.15615,32520.52207,20675.90791
7996/533.4208mz/8.09min,204656.1301,222364.2808,218247.2853,157044.8234,228945.9694,,,,,,,,,,,,,5985908.129,11110.99049,,,,188305.0755,,,,,,,,31844.943,,19067.0301,,,12369.90762,76684.67826,,4226.16375,,,,,,,,,,,,,,39299.16933,,42063.7709,,,5438756.093,,,,,4173.284751,,,
7999/532.7680mz/8.10min,206872.3947,122537.0342,134415.3329,186906.1228,129496.3446,,4103.229199,,7395.011367,5377.768359,,,,,,,,6082917.061,,,,,222351.6394,,5187.01748,,5294.205874,4360.727238,,,21084.84826,,20010.57533,,,,81379.76783,2448.269177,4586.070513,6708.638672,,,5296.256887,,,,2277.606277,,,,,3248.125558,52591.56214,,70980.29984,,,5556398.771,,,,,4852.858248,,,
8027/447.3454mz/7.47min,48077.97375,98983.764,79148.74304,88911.17435,34475.59215,,,,,,,,,,,,,3447482.054,,6996.419414,,,,,,,,,,,,,,,,,,,,,,,,,31828.0316,,,,,,,,,,,205096.265,,3479295.638,,12696.02965,,,202846.5421,68823.90568,,
8050/561.0874mz/7.68min,,,,,,,5688.067559,,10594.06322,8364.357891,,,,,5852.475557,,,2697212.858,,,18157.62626,,,9580.366318,,16068.45721,,,,,,8803.580288,,,,,,,301041.3291,,,,,,53686.80771,,,,73448.00662,,,,,,,423581.437,10240.81121,3259808.968,3392.489443,12125.37438,,30267.42278,600469.1751,378210.7215,,
8072/667.0001mz/5.97min,1334010.853,1264633.79,821702.9414,1109984.111,1183337.213,1378643.248,,1001356.975,2077690.708,,3147086.29,,,,,,,3928472.181,,,,,1292620.404,,1379716.194,,642974.0742,1394183.609,,,7836480.671,,,,4659207.176,,2430521.087,1710954.877,1831214.795,1526326.019,2367306.823,1187457.817,,7835430.635,,,,2554285.479,,,1011538.263,,641603.5078,,359901.3909,,953395.3711,3304075.973,539442.4744,,,,,,538462.518,829277.0822
8089/292.0829mz/5.36min,5931686.934,6337751.122,6804322.436,6949017.54,6816155.945,897565.472,5439628.252,321172.4069,141328.264,2998602.876,9998590.695,5747330.426,13100000,1125815.506,2158063.541,4383608.342,7752032.23,2966147.18,8414898.932,9620058.745,4198834.362,8798194.737,531434.4088,1731008.158,4700681.533,10100000,14500000,11100000,10900000,5463740.072,5165165.325,1399538.688,1708694.716,,24100000,26200000,1806806.76,56355.18444,8368614.368,5990819.322,18200000,720795.7988,,1322782.284,6349031.893,,,2487810.842,8795719.399,4431786.134,6991926.991,,1534788.183,9259440.871,1712563.026,2570097.558,3292855.447,2429009.143,2583261.848,6848375.283,4443901.854,15700000,2391514.854,2861376.875,1424996.672,1801736.678
8091/563.1110mz/8.30min,291403.6799,274799.9015,320568.4252,130705.9192,509874.483,3790.694575,410236.3848,47981.68298,31861.26921,8597.425269,14953.11735,90795.91847,474772.2115,19836.4313,10565.40062,63006.67701,,2512632.097,16686.91145,123568.3282,649637.9223,17099.32125,311637.7103,246029.3799,1553473.373,27299.10914,195658.7266,137209.751,1313666.76,45339.80235,2059907.032,88623.3837,3027866.463,,193054.1958,1862171.852,515077.3838,72847.07333,73721.22325,507545.1267,330849.6498,3153.471152,,182938.4258,138561.8865,,,85205.29721,476311.1863,58987.6422,6846.632981,,342216.4218,1160180.808,412556.9925,142427.6801,60111.90111,2074893.053,36948.32998,64619.39798,153816.2223,610975.327,84118.71601,133380.7472,517143.4362,721293.6178
8092/446.8407mz/7.67min,,,,,,,,,,,3706.366096,,,,,2547.25949,,1736611.031,,,,,,,,,,,,,,,,2831.21662,,,,,,,,,1977.087693,,30495.75384,2362.804094,1910.482232,,19295.2334,,,2465.441594,,,,176703.9793,,1914446.991,,18657.95241,,,311939.4466,211562.534,11834.79375,
8109/565.0342mz/7.47min,20394.93811,23584.91203,15616.65545,27273.91806,9565.11624,4034.468281,4887.162187,3463.422656,7239.872168,12200.99508,8139.167105,5442.216536,,9551.980972,3500.662441,3745.203467,78318.24291,1916357.609,28008.08774,11396.38635,6947.908506,58558.92363,15011.63191,,,32848.41088,,,8614.732207,13498.71123,,12029.09286,,,,11823.38314,,,6695.452061,7116.372275,,,,7814.632734,16634.56717,,,14586.72493,4528.523906,,,,,6632.156016,,43307.14786,10442.36568,1864770.618,12133.95047,7468.677246,,4921.52001,80058.89953,47114.47996,34013.75456,32560.29141
8119/471.0422mz/7.32min,4838287.936,10700000,19400000,14200000,,7092118.151,2736.419383,4388.898984,316919.8834,25800000,76657.21342,10844.05415,2876.85022,17822.0378,5418.611104,45065.00272,42200000,2170005.578,39100000,67400000,3799.616396,,58683.33007,94916.20925,,44300000,890279.9952,878524.9319,31600000,25300000,23983.10339,,5315.194943,90972.66861,564802.1586,31100000,5895.923085,,220668.2248,8518.097168,945034.8614,4282603.738,11510.38155,390947.5312,581524.8079,,,,4742.407061,,61296.3509,,,7690557.597,56658.81127,638300.9875,85555.06796,1894604.209,,195925.2338,,,461368.6445,1061996.951,633104.7465,738631.6826
