windowID,windMzMid,windRtMid,15_neg,28_neg,2_neg,41_neg,54_neg
window000002611,587.232,7.588,435439,516036,474368,389865,530220
window000002614,519.2439,7.59,1750991,1941619,1814144,1771100,1937553
window000002615,281.01,7.593,106647,184082,243077,432799,400249
window000002618,461.0729,7.696,936305472,924508352,957902912,870596672,925581568
window000002619,555.164,7.604,626981,718778,848559,762373,760360
window000002622,373.1402,7.615,12168491,12708969,13831557,9474503,12477961
window000002623,309.9633,7.601,149479,267568,287178,678918,618902
window000002624,383.1712,7.592,328008,318503,316388,276456,294014
window000002628,605.1875,7.623,1142462,1289380,1388320,1525416,1640234
window000002629,582.183,7.607,620736,611098,709531,603153,604372
window000002630,567.1389,7.601,261577,251319,225602,283804,286703
window000002636,487.1338,7.611,1301674,1459703,1378964,1082477,1506749
window000002638,436.1363,7.618,2509022,2636939,3063804,2041806,2438657
window000002639,415.1244,7.617,1262849,1207991,1467872,1138429,1274041
window000002640,409.1171,7.615,1072990,1657775,1747241,1451158,1877051
window000002645,549.125,7.636,13436272,14287340,13802783,13196472,14346189
window000002646,403.1148,7.633,3957463,3554204,3855903,3573862,3851343
window000002668,472.0615,7.675,12801649,12664148,13654466,13382416,14126155
window000002670,560.9967,7.698,25059050,23825546,25744384,25880250,24711360
window000002675,285.0399,7.703,26215274,25230244,27137702,22866780,25715496
window000002680,461.3367,7.683,5222628,4227138,5348516,4525474,4534648
window000002689,923.1535,7.679,281888256,263425328,299114656,249387216,269182528
window000002690,447.077,7.678,8510911,7910288,7799558,8361934,8772452
window000002698,945.134,7.677,14687735,13221819,15116575,13857609,15446715
window000002699,692.1128,7.674,106197328,112550888,103208192,99171520,116989288
window000002706,692.6153,7.68,77289088,73312056,70184888,70910976,82665184
window000002707,934.6469,7.672,6254570,7094464,7224027,7207304,5970644
window000002712,703.1043,7.676,7709271,6215954,7199611,10059678,8085351
window000002716,919.1583,7.698,7775484,6412506,9514365,7365504,9338957
window000002719,923.6544,7.673,59295484,66432548,62325360,59300460,64874868
window000002737,934.1441,7.676,7925988,8217208,6752400,7617779,7182436
window000002747,1154.6954,7.674,41313436,42168248,44329248,38539548,45527572
window000002750,909.1739,7.674,2006586,2142830,1786597,2276464,2533264
window000002764,1386.236,7.675,16457987,13348486,15391378,13001564,15954951
window000002790,326.1035,7.733,4878454,4534000,4953446,4377504,4549088
window000002809,565.1923,7.763,3432972,3446577,3405429,3005632,3297733
window000002813,363.1662,7.739,2021773,2116907,2099537,1866075,2081230
window000002819,439.182,7.732,415488,456725,434823,401665,443558
window000002821,853.3149,7.792,820189,821601,826347,798954,876563
window000002824,371.1347,7.767,3836889,3685630,3752200,3060744,3550339
window000002826,579.1543,7.801,392240,398851,479777,400909,408480
window000002827,579.2083,7.763,686658,728562,694428,637554,633628
window000002835,393.1169,7.766,690886,643832,734153,567312,653822
window000002836,437.1067,7.767,485876,522853,470170,411900,460324
window000002839,365.1818,7.79,348883,325360,315766,332674,368242
window000002846,465.1981,7.806,11525610,11362517,11730137,10603244,11605797
window000002848,323.0951,7.805,250156,265040,252180,245526,255072
window000002849,533.1953,7.803,326984,296813,297194,289905,340432
window000002850,629.2662,7.793,1023813,1010631,960669,854828,942163
window000002851,131.0521,7.81,864168,927181,986965,787716,837010
window000002853,698.2574,7.79,315755,289827,314591,264502,286510
window000002854,173.0811,7.813,692229,704912,722672,644471,741939
window000002856,653.1728,7.797,273682,317587,294633,236188,364780
window000002857,693.2782,7.815,387107,442880,495276,377090,377886
