"""Compound_tpj""","""met_class""","""Ontology_msdial""","Matching.Attribute","Matching.Attribute.1","Matching.Attribute.2","Modules_comb","Modules_ind","name","selected","shared name"
"""Kaempferol-glcA""","""Flavonoid""","""Flavonoid-3-O-glucuronides""","""X4270_463.0874_7.67_pos""","""X4270_463.0874_7.67_pos""","""X4270_463.0874_7.67_pos""","20","74","""X4270_463.0874_7.67_pos""","false","""X4270_463.0874_7.67_pos"""
"""Kaempferol-glc""","""Flavonoid""","""Flavonoid O-glycosides""","""X4199_449.1084_7.68_pos""","""X4199_449.1084_7.68_pos""","""X4199_449.1084_7.68_pos""","20","74","""X4199_449.1084_7.68_pos""","false","""X4199_449.1084_7.68_pos"""
"NA","progestogins and derivatives""","""Gluco/mineralocorticoids","""X4195_509.2362_10.73_pos""","""X4195_509.2362_10.73_pos""","""X4195_509.2362_10.73_pos""","3","90","""X4195_509.2362_10.73_pos""","false","""X4195_509.2362_10.73_pos"""
"NA","""Unk""","""Unknown""","""X412_146.1170_2.11_pos""","""X412_146.1170_2.11_pos""","""X412_146.1170_2.11_pos""","39","78","""X412_146.1170_2.11_pos""","false","""X412_146.1170_2.11_pos"""
"NA","""Unk""","""Phenolic glycosides""","""X410_429.1759_9.21_pos""","""X410_429.1759_9.21_pos""","""X410_429.1759_9.21_pos""","71","133","""X410_429.1759_9.21_pos""","false","""X410_429.1759_9.21_pos"""
"NA","""Unk""","""Formula predicted""","""X2364_181.1223_9.36_pos""","""X2364_181.1223_9.36_pos""","""X2364_181.1223_9.36_pos""","71","133","""X2364_181.1223_9.36_pos""","false","""X2364_181.1223_9.36_pos"""
"""5'-Deoxy-5'-Methylthioadenosine""","""Unk""","""5'-deoxy-5'-thionucleosides""","""X41_298.0969_4.33_pos""","""X41_298.0969_4.33_pos""","""X41_298.0969_4.33_pos""","70","132","""X41_298.0969_4.33_pos""","false","""X41_298.0969_4.33_pos"""
"NA","""Unk""","""Quinazolines""","""X29677_261.1309_4.31_pos""","""X29677_261.1309_4.31_pos""","""X29677_261.1309_4.31_pos""","69","131","""X29677_261.1309_4.31_pos""","false","""X29677_261.1309_4.31_pos"""
"NA","""Unk""","""Terpene glycosides""","""X21_385.1490_7.28_pos""","""X21_385.1490_7.28_pos""","""X21_385.1490_7.28_pos""","39","85","""X21_385.1490_7.28_pos""","false","""X21_385.1490_7.28_pos"""
"NA","""Unk""","""null""","""X409_382.2023_7.73_pos""","""X409_382.2023_7.73_pos""","""X409_382.2023_7.73_pos""","27","85","""X409_382.2023_7.73_pos""","false","""X409_382.2023_7.73_pos"""
"""Tryptophan""","""Unk""","""Indolyl carboxylic acids and derivatives""","""X4_205.0992_4.29_pos""","""X4_205.0992_4.29_pos""","""X4_205.0992_4.29_pos""","67","123","""X4_205.0992_4.29_pos""","false","""X4_205.0992_4.29_pos"""
"""Kaempferol-glc-xyl""","""Flavonoid""","""Anthocyanidin-3-O-glycosides""","""X396_581.1565_7.02_pos""","""X396_581.1565_7.02_pos""","""X396_581.1565_7.02_pos""","20","74","""X396_581.1565_7.02_pos""","false","""X396_581.1565_7.02_pos"""
"NA","""Unk""","""null""","""X3938_345.2627_10.98_pos""","""X3938_345.2627_10.98_pos""","""X3938_345.2627_10.98_pos""","29","72","""X3938_345.2627_10.98_pos""","false","""X3938_345.2627_10.98_pos"""
"NA","""Unk""","NA","""X3935_368.1918_8.19_pos""","""X3935_368.1918_8.19_pos""","""X3935_368.1918_8.19_pos""","2","130","""X3935_368.1918_8.19_pos""","false","""X3935_368.1918_8.19_pos"""
"NA","isoeudesmane or cycloeudesmane sesquiterpenoids""","""Eudesmane","""X3932_251.1618_8.99_pos""","""X3932_251.1618_8.99_pos""","""X3932_251.1618_8.99_pos""","10","85","""X3932_251.1618_8.99_pos""","false","""X3932_251.1618_8.99_pos"""
"NA","""Unk""","""Alpha amino acids and derivatives""","""X3876_475.2475_5.51_pos""","""X3876_475.2475_5.51_pos""","""X3876_475.2475_5.51_pos""","4","84","""X3876_475.2475_5.51_pos""","false","""X3876_475.2475_5.51_pos"""
"NA","""Unk""","""Catechin gallates""","""X387_460.1268_9.38_pos""","""X387_460.1268_9.38_pos""","""X387_460.1268_9.38_pos""","14","92","""X387_460.1268_9.38_pos""","false","""X387_460.1268_9.38_pos"""
"NA","4-dioxanes""","""1","""X3856_261.1098_11.59_pos""","""X3856_261.1098_11.59_pos""","""X3856_261.1098_11.59_pos""","39","78","""X3856_261.1098_11.59_pos""","false","""X3856_261.1098_11.59_pos"""
"NA","""Unk""","""7-O-methylated flavonoids""","""X373_391.1497_7.06_pos""","""X373_391.1497_7.06_pos""","""X373_391.1497_7.06_pos""","10","85","""X373_391.1497_7.06_pos""","false","""X373_391.1497_7.06_pos"""
"NA","""Unk""","""null""","""X361_174.0757_5.21_pos""","""X361_174.0757_5.21_pos""","""X361_174.0757_5.21_pos""","39","78","""X361_174.0757_5.21_pos""","false","""X361_174.0757_5.21_pos"""
"NA","""Unk""","""Furopyrans""","""X357_250.1089_8.38_pos""","""X357_250.1089_8.38_pos""","""X357_250.1089_8.38_pos""","27","81","""X357_250.1089_8.38_pos""","false","""X357_250.1089_8.38_pos"""
"NA","""Unk""","""Cephalosporins""","""X351_390.1133_6.21_pos""","""X351_390.1133_6.21_pos""","""X351_390.1133_6.21_pos""","66","121","""X351_390.1133_6.21_pos""","false","""X351_390.1133_6.21_pos"""
"NA","""Unk""","""Flavonoid-7-O-glycosides""","""X35_423.1229_6.67_pos""","""X35_423.1229_6.67_pos""","""X35_423.1229_6.67_pos""","2","128","""X35_423.1229_6.67_pos""","false","""X35_423.1229_6.67_pos"""
"NA","""Unk""","""null""","""X3495_177.1605_10.36_pos""","""X3495_177.1605_10.36_pos""","""X3495_177.1605_10.36_pos""","2","107","""X3495_177.1605_10.36_pos""","false","""X3495_177.1605_10.36_pos"""
"NA","""Unk""","""Terpene glycosides""","""X3472_429.2115_5.05_pos""","""X3472_429.2115_5.05_pos""","""X3472_429.2115_5.05_pos""","54","83","""X3472_429.2115_5.05_pos""","false","""X3472_429.2115_5.05_pos"""
"NA","""Unk""","NA","""X347_374.1457_6.82_pos""","""X347_374.1457_6.82_pos""","""X347_374.1457_6.82_pos""","62","113","""X347_374.1457_6.82_pos""","false","""X347_374.1457_6.82_pos"""
"NA","""Unk""","""Fatty acyl glycosides of mono- and disaccharides""","""X3412_375.2379_7.83_pos""","""X3412_375.2379_7.83_pos""","""X3412_375.2379_7.83_pos""","36","73","""X3412_375.2379_7.83_pos""","false","""X3412_375.2379_7.83_pos"""
