"","MD_11","MD_12","MD_14","MD_15","MD_16","MD_17","MD_18","MW_1","MW_10","MW_2","MW_3","MW_5","MW_6","MW_8","MW_9"
"Module_44",0.924738236425223,-1.82934016121177,-0.491906022143456,0.215153503562623,-2.01124403663944,-1.77854889384499,-0.396793248933134,-0.727405099377959,-0.0429101816451113,0.72827717397581,1.9888367544118,2.30406018341111,-0.840740875155546,1.16911154495659,0.788711122208238
"Module_45",0.628873882815142,-0.505305897276911,-1.91436299200068,0.917962061558524,-0.235486611585798,0.923252588084192,-0.95369857841212,-1.11176957083793,3.36363386935969,0.236917523654719,0.685662821406737,0.298685273306317,-4.5165781343454,-0.836788290311844,3.01900205458537
"Module_46",-3.55888627471264,-0.77364165033033,-0.728185094773578,-2.60393426984022,-0.89467537138923,-0.314537454002003,-1.23503748751297,2.29538529835681,2.19580892902223,2.81814405310493,1.07015094571761,1.54834041915051,0.865766499749125,-2.13871773599715,1.4540191934569
"Module_47",-1.16449331973735,-0.794345389531725,-0.633725059187293,-1.24758326050741,0.52880314412777,-0.525167849484635,-0.0318901035247768,1.6082803067699,-1.42803739866648,1.18749543176322,4.15377909873147,-0.648826656129943,1.4013888150938,-0.090075073379311,-2.31560268633724
"Module_48",-2.82415434178033,-3.63137365972356,1.00972722868415,-0.00931420145172349,-0.0765737889429872,-0.0402790223317142,0.460248702939483,1.39695394778883,1.6010024893607,2.7634509003912,1.65189300364645,1.11203698765979,0.778027123787015,-5.11289426279202,0.921248892764714
"Module_49",-0.829767663618958,0.760489331006126,0.486944792040058,-1.11247352944513,0.345173173498789,-0.363741629448801,-0.55162463789404,-3.42105999899698,0.738166970094066,1.00674532647625,1.43362366071506,1.69841679094089,0.44409347148823,1.25062335973981,-1.88560941659536
"Module_50",-0.538478859744997,1.70003256877402,0.301339284155241,-0.626488731716902,-0.0814755804483549,1.63149432670289,-1.38749041295563,0.777800843960675,-0.739458449262292,0.199325255529946,-1.65556101271898,-1.37490801017263,0.885704250511142,2.53446068992382,-1.62629616253792
"Module_51",-0.667584753488866,0.882285179361239,-2.77322192741669,-2.59291485346718,-0.809488535222399,1.28380730927947,-1.58123041788351,1.00280472744898,1.80280016517968,-0.488452920301574,1.80365086328763,-1.26514728410831,-0.220596759091031,-0.280582269572404,3.90387147599493
"Module_52",-3.71597311678844,-0.779338070640581,1.55929158639536,-3.10023104329743,-1.08720634183497,0.531812805404903,-0.896763116192763,0.574820357820916,2.78732819162863,0.0670421897600058,1.99813407928157,1.07437532668674,1.54998558982388,-2.10895880642404,1.54568036837624
"Module_53",-0.687301037484438,-3.22239673986931,-0.27870993951073,1.87727372641183,2.28257253142395,1.72986417654405,2.24980325200118,1.83518647822091,1.12083691890464,-2.25755868305333,2.53880438785424,-3.70240465862489,-0.413255237316631,-1.41583278309717,-1.65688239240431
